truth,pred,fold_id
environmental,0.608727546,0
environmental,0.634958927,0
clinical,0.416002641,0
clinical,0.693295944,0
environmental,0.724776559,0
environmental,0.743264086,0
environmental,0.8229279,0
environmental,0.803536467,0
environmental,0.561077191,0
environmental,0.639948046,0
environmental,0.50946863,0
clinical,0.647935804,0
environmental,0.948288571,0
environmental,0.526641967,0
environmental,0.481669642,0
environmental,0.817948236,0
environmental,0.321245033,0
environmental,0.41873453,0
environmental,0.579005452,0
clinical,0.557534908,0
environmental,0.484361679,0
environmental,0.71349789,0
environmental,0.560628974,0
environmental,0.81245887,0
environmental,0.59304855,0
environmental,0.512635642,0
clinical,0.665497229,0
environmental,0.461787747,0
environmental,0.450839743,0
environmental,0.73804733,0
environmental,0.793658436,0
clinical,0.548165578,0
environmental,0.450630045,0
clinical,0.640676848,0
environmental,0.718386036,0
environmental,0.418281902,0
clinical,0.651080659,0
environmental,0.675748497,0
environmental,0.6904705,0
environmental,0.659721496,0
environmental,0.564201953,0
environmental,0.678258234,0
environmental,0.526981171,0
environmental,0.4742157,0
environmental,0.867355498,0
clinical,0.586779634,0
environmental,0.64218203,0
environmental,0.905385325,0
environmental,0.783483067,0
environmental,0.397407551,0
clinical,0.282059543,0
environmental,0.744451407,0
environmental,0.595033626,0
environmental,0.684686106,0
environmental,0.812356765,0
environmental,0.76130703,0
environmental,0.55884449,0
environmental,0.804067073,0
environmental,0.684481684,0
environmental,0.346453522,0
environmental,0.589344671,0
environmental,0.75899103,0
environmental,0.587657473,0
clinical,0.551764008,0
environmental,0.668893972,0
clinical,0.337156083,0
environmental,0.773313784,0
clinical,0.481876036,0
environmental,0.707436691,0
environmental,0.794771752,0
environmental,0.751552348,0
environmental,0.650493471,0
environmental,0.653784233,0
environmental,0.440385524,0
clinical,0.679597234,0
clinical,0.459205166,0
environmental,0.557571482,0
environmental,0.394411534,0
environmental,0.632828506,0
environmental,0.882063935,0
environmental,0.616248246,0
environmental,0.678301374,0
environmental,0.344470795,0
environmental,0.542910121,0
environmental,0.85386017,0
environmental,0.703525086,0
clinical,0.623796104,0
environmental,0.610817726,0
environmental,0.51924067,0
environmental,0.414897291,0
environmental,0.915882512,0
environmental,0.370818064,0
environmental,0.591042894,0
environmental,0.67317127,0
environmental,0.685568781,0
clinical,0.20872229,0
clinical,0.217818111,0
clinical,0.497344175,0
environmental,0.582646185,0
environmental,0.716114958,0
environmental,0.696693095,0
environmental,0.381916117,0
environmental,0.434818538,0
environmental,0.778091637,0
environmental,0.70443017,0
environmental,0.378792654,0
clinical,0.761040603,0
environmental,0.845277107,0
environmental,0.702933422,0
clinical,0.504429652,0
environmental,0.681682124,0
environmental,0.584934931,0
environmental,0.365304047,0
environmental,0.671447685,0
environmental,0.420528688,0
clinical,0.396864861,0
environmental,0.820381254,0
environmental,0.505636207,0
environmental,0.879206328,0
environmental,0.666789014,0
environmental,0.48263867,0
environmental,0.734760699,0
environmental,0.624243259,0
environmental,0.465244752,0
environmental,0.912172375,0
clinical,0.244767498,0
environmental,0.686274283,0
clinical,0.326367097,0
environmental,0.406283704,0
environmental,0.742704868,0
environmental,0.822249701,0
environmental,0.372357571,0
clinical,0.836538424,0
environmental,0.68039018,0
environmental,0.62847179,0
environmental,0.718716326,0
environmental,0.770303523,0
environmental,0.661831126,0
environmental,0.841565542,0
environmental,0.502764612,0
environmental,0.767333767,0
environmental,0.544100179,0
environmental,0.81493016,0
clinical,0.487947946,0
environmental,0.88327677,0
clinical,0.358315047,0
environmental,0.68640783,0
clinical,0.625552121,0
clinical,0.452132278,0
environmental,0.461180604,0
clinical,0.508371572,0
environmental,0.695576736,0
environmental,0.851322418,0
clinical,0.672539682,0
environmental,0.495726382,0
environmental,0.384402492,0
environmental,0.491499956,0
clinical,0.347780559,0
clinical,0.576781476,0
clinical,0.624874947,0
clinical,0.771115183,0
