#,ID,NAME,EQUATION,EC-NUMBER,GENE ASSOCIATION,LOWER BOUND,UPPER BOUND,OBJECTIVE,SUBSYSTEM,DATABASE-REFERENCE,GEM-REFERENCE
,R1,secretory phospholipase A2,"H2O [cytoplasm] + phosphatidylcholine [cytoplasm] --> 1-acylglycerophosphocholine [cytoplasm] + (9Z,12Z,15Z)-Octadecatrienoic acid [cytoplasm]",3.1.1.4,AFUA_2G11970 or AFUA_4G08440,0,1000,0,alpha-Linolenic acid metabolism,KEGG:R07859,
,R2,acyl-CoA oxidase,FAD [nucleus] + OPC8-CoA [nucleus] <-- FADH2 [nucleus] + trans-2-Enoyl-OPC8-CoA [nucleus],1.3.3.6,AFUA_7G06090 or AFUA_7G06100,-1000,0,0,alpha-Linolenic acid metabolism,KEGG:R07888,
,R3,acyl-CoA oxidase,FAD [cytoplasm] + OPC8-CoA [cytoplasm] <-- FADH2 [cytoplasm] + trans-2-Enoyl-OPC8-CoA [cytoplasm],1.3.3.6,AFUA_7G06090 or AFUA_7G06100,-1000,0,0,alpha-Linolenic acid metabolism,KEGG:R07888,
,R4,acyl-CoA oxidase,FAD [peroxisome] + OPC8-CoA [peroxisome] <-- FADH2 [peroxisome] + trans-2-Enoyl-OPC8-CoA [peroxisome],1.3.3.6,AFUA_7G06090 or AFUA_7G06100,-1000,0,0,alpha-Linolenic acid metabolism,KEGG:R07888,
,R5,enoyl-CoA hydratase/3-hydroxyacyl-CoA dehydrogenase,3-Hydroxy-OPC8-CoA [cytoplasm] <-- H2O [cytoplasm] + trans-2-Enoyl-OPC8-CoA [cytoplasm],4.2.1.17; 4.2.1.74,AFUA_2G10920 or AFUA_8G01210,-1000,0,0,alpha-Linolenic acid metabolism,KEGG:R07889,
,R6,enoyl-CoA hydratase/3-hydroxyacyl-CoA dehydrogenase,3-Hydroxy-OPC8-CoA [mitochondrion] <-- H2O [mitochondrion] + trans-2-Enoyl-OPC8-CoA [mitochondrion],4.2.1.17; 4.2.1.74,AFUA_2G10920 or AFUA_8G01210,-1000,0,0,alpha-Linolenic acid metabolism,KEGG:R07889,
,R7,acetyl-CoA acyltransferase,acetyl-CoA [extracellular] + OPC6-CoA [extracellular] <-- coenzyme A [extracellular] + 3-Oxo-OPC8-CoA [extracellular],2.3.1.16,AFUA_4G10950 or AFUA_7G04080,-1000,0,0,alpha-Linolenic acid metabolism,KEGG:R07891,
,R8,acetyl-CoA acyltransferase,acetyl-CoA [mitochondrion] + OPC6-CoA [mitochondrion] <-- coenzyme A [mitochondrion] + 3-Oxo-OPC8-CoA [mitochondrion],2.3.1.16,AFUA_4G10950 or AFUA_7G04080,-1000,0,0,alpha-Linolenic acid metabolism,KEGG:R07891,
,R9,acyl-CoA oxidase,FAD [nucleus] + OPC6-CoA [nucleus] <-- FADH2 [nucleus] + trans-2-Enoyl-OPC6-CoA [nucleus],1.3.3.6,AFUA_7G06090 or AFUA_7G06100,-1000,0,0,alpha-Linolenic acid metabolism,KEGG:R07892,
,R10,acyl-CoA oxidase,FAD [cytoplasm] + OPC6-CoA [cytoplasm] <-- FADH2 [cytoplasm] + trans-2-Enoyl-OPC6-CoA [cytoplasm],1.3.3.6,AFUA_7G06090 or AFUA_7G06100,-1000,0,0,alpha-Linolenic acid metabolism,KEGG:R07892,
,R11,acyl-CoA oxidase,FAD [peroxisome] + OPC6-CoA [peroxisome] <-- FADH2 [peroxisome] + trans-2-Enoyl-OPC6-CoA [peroxisome],1.3.3.6,AFUA_7G06090 or AFUA_7G06100,-1000,0,0,alpha-Linolenic acid metabolism,KEGG:R07892,
,R12,enoyl-CoA hydratase/3-hydroxyacyl-CoA dehydrogenase,3-Hydroxy-OPC6-CoA [cytoplasm] <-- H2O [cytoplasm] + trans-2-Enoyl-OPC6-CoA [cytoplasm],4.2.1.17; 4.2.1.74,AFUA_2G10920 or AFUA_8G01210,-1000,0,0,alpha-Linolenic acid metabolism,KEGG:R07893,
,R13,enoyl-CoA hydratase/3-hydroxyacyl-CoA dehydrogenase,3-Hydroxy-OPC6-CoA [mitochondrion] <-- H2O [mitochondrion] + trans-2-Enoyl-OPC6-CoA [mitochondrion],4.2.1.17; 4.2.1.74,AFUA_2G10920 or AFUA_8G01210,-1000,0,0,alpha-Linolenic acid metabolism,KEGG:R07893,
,R14,acetyl-CoA C-acyltransferase,acetyl-CoA [extracellular] + OPC4-CoA [extracellular] <-- coenzyme A [extracellular] + 3-Oxo-OPC6-CoA [extracellular],2.3.1.16,AFUA_4G10950 or AFUA_7G04080,-1000,0,0,alpha-Linolenic acid metabolism,KEGG:R07895,
,R15,acetyl-CoA C-acyltransferase,acetyl-CoA [mitochondrion] + OPC4-CoA [mitochondrion] <-- coenzyme A [mitochondrion] + 3-Oxo-OPC6-CoA [mitochondrion],2.3.1.16,AFUA_4G10950 or AFUA_7G04080,-1000,0,0,alpha-Linolenic acid metabolism,KEGG:R07895,
,R16,acyl-CoA oxidase,FAD [nucleus] + OPC4-CoA [nucleus] <-- FADH2 [nucleus] + trans-2-Enoyl-OPC4-CoA [nucleus],1.3.3.6,AFUA_7G06090 or AFUA_7G06100,-1000,0,0,alpha-Linolenic acid metabolism,KEGG:R07896,
,R17,acyl-CoA oxidase,FAD [cytoplasm] + OPC4-CoA [cytoplasm] <-- FADH2 [cytoplasm] + trans-2-Enoyl-OPC4-CoA [cytoplasm],1.3.3.6,AFUA_7G06090 or AFUA_7G06100,-1000,0,0,alpha-Linolenic acid metabolism,KEGG:R07896,
,R18,acyl-CoA oxidase,FAD [peroxisome] + OPC4-CoA [peroxisome] <-- FADH2 [peroxisome] + trans-2-Enoyl-OPC4-CoA [peroxisome],1.3.3.6,AFUA_7G06090 or AFUA_7G06100,-1000,0,0,alpha-Linolenic acid metabolism,KEGG:R07896,
,R19,enoyl-CoA hydratase/3-hydroxyacyl-CoA dehydrogenase,3-Hydroxy-OPC4-CoA [cytoplasm] <-- H2O [cytoplasm] + trans-2-Enoyl-OPC4-CoA [cytoplasm],4.2.1.17; 4.2.1.74,AFUA_2G10920 or AFUA_8G01210,-1000,0,0,alpha-Linolenic acid metabolism,KEGG:R07897,
,R20,enoyl-CoA hydratase/3-hydroxyacyl-CoA dehydrogenase,3-Hydroxy-OPC4-CoA [mitochondrion] <-- H2O [mitochondrion] + trans-2-Enoyl-OPC4-CoA [mitochondrion],4.2.1.17; 4.2.1.74,AFUA_2G10920 or AFUA_8G01210,-1000,0,0,alpha-Linolenic acid metabolism,KEGG:R07897,
,R21,acetyl-CoA C-acyltransferase,acetyl-CoA [extracellular] + (+)-7-Isojasmonic acid CoA [extracellular] <-- coenzyme A [extracellular] + 3-Oxo-OPC4-CoA [extracellular],2.3.1.16,AFUA_4G10950 or AFUA_7G04080,-1000,0,0,alpha-Linolenic acid metabolism,KEGG:R07899,
,R22,acetyl-CoA C-acyltransferase,acetyl-CoA [mitochondrion] + (+)-7-Isojasmonic acid CoA [mitochondrion] <-- coenzyme A [mitochondrion] + 3-Oxo-OPC4-CoA [mitochondrion],2.3.1.16,AFUA_4G10950 or AFUA_7G04080,-1000,0,0,alpha-Linolenic acid metabolism,KEGG:R07899,
,R23,L-aspartate 1-carboxy-lyase (beta-alanine-forming),L-aspartate [cytoplasm] --> CO2 [cytoplasm] + beta-alanine [cytoplasm],4.1.1.11; 4.1.1.15,AFUA_6G13490 or AFUA_3G11120 or AFUA_8G06020,0,1000,0,beta-Alanine metabolism,KEGG:R00489,R456ANIGER [2]
,R24,L-aspartate 1-carboxy-lyase (beta-alanine-forming),L-aspartate [mitochondrion] --> CO2 [mitochondrion] + beta-alanine [mitochondrion],4.1.1.11; 4.1.1.15,AFUA_6G13490 or AFUA_3G11120 or AFUA_8G06020,0,1000,0,beta-Alanine metabolism,KEGG:R00489,R456ANIGER [2]
,R25,3-aminopropanal:NAD+ oxidoreductase,H2O [cytoplasm] + NAD(+) [cytoplasm] + 3-aminopropanal [cytoplasm] --> NADH [cytoplasm] + beta-alanine [cytoplasm],1.2.1.3; 1.2.1.5; 1.2.1.19,AFUA_2G00720 or AFUA_4G08600 or AFUA_6G11430 or AFUA_7G01000 or AFUA_8G02310 or AFUA_4G02830,0,1000,0,beta-Alanine metabolism,KEGG:R00904,r0172YCM606 [7]
