,Substrates,Source,ID
0,L-Arabinose,carbon,C00259
1,Nicotinate,carbon,C00253
2,5-Aminolevulinate,carbon,C00430
3,(R)-Lactate,carbon,C00256
4,Hypoxanthine,carbon,C00262
5,beta-Alanine,carbon,C00099
6,Glyceride,carbon,C01885
7,Tetradecanoic acid,carbon,C06424
8,Thiamin diphosphate,carbon,C00068
9,Glycerophosphocholine,carbon,C00670
10,Pantothenate,carbon,C00864
11,3-cyanopyridine,carbon,Cluster6035
12,Thiamin monophosphate,carbon,C01081
13,Nicotinamide,carbon,C00153
14,Phenylacetic acid,carbon,C07086
15,4-Aminobenzoate,carbon,C00568
16,alpha-Isopropylmalate,carbon,C02504
17,Nicotinamide D-ribonucleotide,carbon,C00455
18,Palmitoleic acid,carbon,C08362
19,beta-D-Glucose 6-phosphate,carbon,C01172
20,"3,4-Dihydroxybenzoate",carbon,C00230
21,Phosphatidate,carbon,C00416
22,L-Iditol,carbon,C01507
23,"4,4-Dimethyl-5alpha-cholesta-8,14,24-trien-3beta-ol",carbon,C11455
24,(S)-Mandelate,carbon,C01984
25,Quinolinate,carbon,C03722
26,Gluconolactone,carbon,C00198
27,Dihydroxyacetone,carbon,C00184
28,"2,3-Butanediol",carbon,C03044
29,"Adenosine 3',5'-bisphosphate",carbon,C00054
30,Propanal,carbon,C00479
31,alpha-D-Glucose,carbon,C00267
32,Fecosterol,carbon,C04525
33,Anthranilate,carbon,C00108
34,cis-Aconitate,carbon,C00417
35,Benzoate,carbon,C00180
36,NADPH,carbon,C00005
37,D-Erythrose 4-phosphate,carbon,C00279
38,D-Glyceraldehyde 3-phosphate,carbon,C00118
39,Methanol,carbon,C00132
40,Riboflavin,carbon,C00255
41,D-Ribose 5-phosphate,carbon,C00117
42,Deoxythymidine triphosphate,carbon,C00459
43,Lanosterol,carbon,C01724
44,Succinyl-CoA,carbon,C00091
45,Benzamide,carbon,C09815
46,Spermidine,carbon,C00315
47,CO2,carbon,C00011
48,Fatty acid,carbon,C00162
49,NADH,carbon,C00004
50,Oleic acid,carbon,C00712
51,"Ergosta-5,7,22,24(28)-tetraen-3beta-ol",carbon,C05440
52,Tannic acid,carbon,C13452
53,Allantoate,carbon,C00499
54,Pectate,carbon,CHEBI15446
55,Octadecanoic acid,carbon,C01530
56,D-Galactonate,carbon,C00880
57,Zymosterol,carbon,C05437
58,L-Methionine S-oxide,carbon,C02989
59,Acetaldehyde,carbon,C00084
60,Isocitrate,carbon,C00311
61,Folinic acid,carbon,C03479
62,Ethanol,carbon,C00469
63,D-Ribulose,carbon,C00309
64,Mevalonic acid,carbon,C00418
65,Hexadecanoic acid,carbon,C00249
66,Spermine,carbon,C00750
67,Episterol,carbon,C15777
68,Benzonitrile,carbon,C09814
69,D-erythro-Imidazole-glycerol 3-phosphate,carbon,C04666
70,1-Acyl-sn-glycero-3-phosphocholine,carbon,C04230
71,Glutathione disulfide,carbon,C00127
72,Ergosterol,carbon,C01694
73,8-Amino-7-oxononanoate,carbon,C01092
74,14-Demethyllanosterol,carbon,C05108
75,Carboxylate,carbon,C00060
76,(S)-3-Methyl-2-oxopentanoic acid,carbon,C00671
77,Choline,carbon,C00114
78,Putrescine,carbon,C00134
