Metabolites,before,pos
EX_xylan8(e),2.472977879,2.811801343
EX_12ppd_S(e),10.43881076,12.88925825
EX_3hpp(e),9.59541966,8.912872433
EX_manttr(e),9.273642405,8.366158583
EX_aso3(e),11.33430759,13.64038108
EX_2dmmq8(e),11.84057675,12.39267779
EX_3hpppn(e),11.99836415,12.73583637
EX_lac_D(e),10.86459466,16.32585475
EX_lcts(e),12.24227365,19.04220486
EX_h2o2(e),11.70637041,14.68038901
EX_sulfac(e),7.579476979,12.85005619
EX_lipa(e),11.81306771,12.68439392
EX_g3ps(e),11.19642369,10.90563307
EX_5dglcn(e),10.84170225,14.68378836
EX_ppoh(e),10.8167823,8.697663982
EX_glygln(e),14.29000994,18.44341744
EX_murein4px4px4p(e),10.75664343,12.59063303
EX_ttdca(e),11.10170907,15.02308349
EX_LalaDgluMdapDala(e),8.498770132,13.70709491
EX_sheme(e),11.53012382,12.57458081
EX_stys(e),9.56552902,13.77156033
EX_for(e),12.30795661,13.26292897
EX_ribflv(e),8.143377237,11.91763908
EX_araban_L(e),0,0
EX_alltn(e),13.68199309,11.88694916
EX_murein4p4p(e),12.04689738,13.02348351
EX_4hbald(e),12.18708198,15.45986926
EX_oaa(e),9.376417616,10.70916753
EX_h2(e),15.91095953,16.15224745
EX_murein5p5p(e),12.8414424,12.81126553
EX_tmp(e),0,0
EX_galctn_L(e),9.803332886,11.11115277
EX_4hphac(e),14.62076964,16.03743097
EX_no2(e),11.58718753,9.059161208
EX_mal_L(e),12.09608593,4.40650421
EX_bzalc(e),11.28360571,8.761205985
EX_butso3(e),11.16923136,13.65153896
EX_glygn4(e),12.24592844,13.25104836
EX_murein5px4p(e),11.03341612,7.217950955
EX_sbt_D(e),14.39679364,9.243374858
EX_xylu_L(e),12.5026203,14.59481412
EX_T4hcinnm(e),7.268399238,10.67376308
EX_23cgmp(e),12.59912257,14.95243334
EX_asn_L(e),9.239240524,9.073929552
EX_dgmp(e),12.91801579,17.46115125
EX_malttr(e),10.34870301,14.9887327
EX_kesto(e),13.48765096,14.10251842
EX_feroxB(e),6.67602679,0.146008645
EX_cobalt2(e),6.761136085,20.6765421
EX_gsn(e),7.213512806,16.7939561
EX_ura(e),13.93566076,13.29987925
EX_arab_L(e),8.41313636,10.18282207
EX_fe2(e),8.015088616,8.833065114
EX_alahis(e),12.88330428,21.64901211
EX_metsox_S_L(e),6.451566338,12.72150927
EX_murein5px4px4p(e),14.93282053,12.34948278
EX_gcald(e),7.460508076,9.911046958
EX_gm1lipa(e),9.597820865,14.26021019
EX_lmn30(e),9.700333477,10.50398195
EX_id3acald(e),7.330587303,10.72454993
EX_ascb_L(e),11.14777084,14.46110987
EX_4hbz(e),12.81393541,11.83415583
EX_hxa(e),13.68660792,20.61998045
EX_btn(e),13.12795721,14.88189919
EX_fe3(e),12.81323708,17.79452254
EX_ins(e),9.607016135,9.390385773
EX_mmet(e),3.756378688,7.869612421
EX_enlipa(e),13.32491173,12.80752046
EX_succ(e),9.403202815,8.821624558
EX_acac(e),12.1159417,14.98216262
EX_hdca(e),8.680644474,15.52676767
EX_tartr_D(e),14.41795317,12.59470579
EX_thm(e),12.97744421,15.47434054
EX_dgchol(e),6.020889504,4.548667186
EX_glyglu(e),11.78590047,14.97429572
EX_malthx(e),8.653165449,12.90287444
EX_thymd(e),14.19092829,11.90614806
EX_ttdcea(e),9.079947494,11.74366991
EX_pb(e),11.59634426,9.490327071
EX_dms(e),11.13581281,10.28042938
EX_feenter(e),11.4056123,12.58775016
EX_dgsn(e),12.97791585,10.76534391
EX_q8(e),10.59585272,12.23506479
EX_tre(e),8.817158394,9.188041977
EX_C02528(e),12.62441907,13.75284585
EX_orot(e),10.89814562,15.81226255
EX_cu2(e),8.292868386,14.63222368
EX_tol(e),13.0869881,13.40891206
EX_phe_L(e),17.20102728,17.99342992
EX_adocbl(e),13.97354649,19.36160841
EX_meoh(e),11.3336268,16.42267253
EX_hom_L(e),4.033950188,11.5577702
EX_etoh(e),10.94520105,12.71487267
EX_Lkynr[e],10.04444177,9.169871136
EX_met_L(e),9.628583659,13.81803355
EX_gmp(e),5.916803592,10.21423021
EX_p_xyl(e),4.207695514,6.359710454
EX_gln_L(e),13.87516511,12.60829488
EX_indprp(e),8.27277612,5.642363762
EX_din(e),14.27804809,16.54899296
EX_glyclt(e),11.74131159,13.01924335
EX_4abut(e),10.75454334,13.10536895
EX_3hphac(e),8.31278367,15.24359107
EX_coa(e),8.290824202,10.87274332
