,before,pos
EX_uri(e),13.08492348,15.906579265000001
EX_pydx(e),12.3423306,8.7244550015
EX_tlf_a_m1(e),13.151890645,12.90189132
EX_dopa(e),7.8298601130000005,15.07638875
EX_R_7oh_warf_glc(e),14.51446576,15.373902295
EX_xylb(e),12.81773801,13.698702305000001
EX_S_6oh_warf(e),12.887143925,6.8426750705
EX_am6(e),11.264391655,10.575970630499999
EX_dmso(e),13.399816555000001,17.705505685
EX_tlf_a_m9(e),9.224803541,15.62684133
EX_rbt(e),13.5241443,12.733659615
EX_N_oh_phtn_glc(e),11.721698015,11.758769265
EX_odsm_gltmn(e),12.782756845,12.077359135
EX_n2(e),12.248846624999999,10.9235906
EX_caribupglu_S(e),15.491309505,13.165280805
EX_eztmb(e),14.284999365000001,10.84953389
EX_tat(e),11.584780509999998,11.67000729
EX_uaagmda(e),12.21866061,17.065484135000002
EX_1ohmdz(e),9.684009857500001,14.39791709
EX_dxo(e),12.941817795,9.2776167945
EX_so3(e),10.288901715,16.405313319999998
EX_glcur(e),13.118860965,12.35469875
EX_tym(e),15.78794314,10.1818019585
EX_progly(e),14.199075395000001,17.046557495000002
EX_glcr(e),14.213025785,12.629441425
EX_nmn(e),0.201169514,0.0783582955
EX_bilr_M14(e),8.98017617,10.18898966
EX_glyb(e),11.148866475,12.757870845
EX_3pg(e),10.55548868,12.140802895
EX_lac_L(e),8.790018529,11.603610745000001
EX_dnpz_m11(e),12.659784985,15.00416528
EX_enter(e),12.70817564,12.590073584999999
EX_mucl(e),13.830750015,9.459358321
EX_fecrm(e),14.514899530000001,11.71561387
EX_tlf_a_1b(e),12.605528945,14.054882465
EX_3hcinnm(e),9.139432111999998,12.85925355
EX_gmfl_mII_glc(e),15.319712965,9.199247977999999
EX_4oh_trz(e),13.12805646,16.335788035
EX_hst_3glc_7s(e),16.068066735000002,9.840936319499999
EX_mdz(e),13.71236395,14.175990689999999
EX_3mop(e),13.60548682,9.2126595515
EX_lstnm7(e),10.990768615,14.58784265
EX_gmfl_mII(e),10.82374608,18.670492995
EX_anzp(e),15.27223451,12.905143760000001
EX_dlb_glc(e),15.6101374,12.03094509
EX_34dhpha(e),12.03731697,11.715570695
EX_estroneglc(e),11.768823165,13.320526699999998
EX_isosorbide_5mn_glc(e),12.738209555000001,17.30301008
EX_sucr(e),17.046558895,16.4804235
EX_g1p(e),8.048832284500001,8.046019359499999
EX_ade(e),12.013905865,14.587030055
EX_3oh_mdea_glc(e),10.679894215000001,10.5987254
EX_tagat_D(e),6.7925744235000005,3.546526588
EX_xylan12(e),7.5199912945,10.1002049885
EX_chols(e),10.39222414,10.18560238
EX_ura(e),6.286218151,6.9941381735
EX_tln(e),10.108220486499999,14.20517285
EX_icit(e),15.289538475,10.724661048000002
EX_pacald(e),7.45560728,14.328871835000001
EX_8oh_efv(e),9.681092519,11.711854684999999
EX_ala_B(e),11.622394945,11.763467015
EX_hst_3_glc(e),12.20099759,14.01803273
EX_galman6(e),8.496935113500001,7.613877972
EX_tmacmp(e),9.482982162999999,9.199790886999999
EX_tolcp_ac(e),12.686846875,12.95238134
EX_Larab(e),7.1651495805,11.5664706
EX_R_6oh_warf(e),11.156865085,11.544050089999999
EX_6pgc(e),0.0,0.0
EX_acmpglu(e),9.718223957500001,10.20373652
EX_urea(e),11.92201985,13.181084235
EX_4oh_meth(e),11.734153145,13.518720640000002
EX_bsn(e),11.052836845,12.544919825000001
EX_rmn(e),14.055582285,12.656863065
EX_tsul(e),10.178585728,14.895470305
EX_buts(e),10.543486905,11.18883992
EX_orot(e),11.254270665,13.01841033
EX_4oh_dcf_glc(e),12.904668065,9.293824616999999
EX_amio_c(e),11.92857325,13.30463782
EX_4hthr(e),10.82248249,9.353430104
EX_quin(e),12.976679835,12.867093220000001
EX_tet(e),15.083547195,12.856179845
EX_murein5px3p(e),1.55538943,0.7207106105
EX_4hmdgluc(e),11.020451040000001,14.640177585
EX_mal_L(e),12.143879375000001,11.469226899999999
EX_15dap(e),10.438529835,10.528379063500001
EX_arab_L(e),9.349762585,11.887640870000002
EX_14glucan(e),14.54654841,12.583488930000001
EX_pyr(e),7.797426854499999,12.829438005
EX_3oh_dlor(e),12.319732235,10.259875445
EX_btoh(e),14.688431210000001,10.214123599
EX_cgly(e),15.871299735000001,13.05226474
EX_gltmn_glc(e),7.425434742,12.125310445
EX_rsv(e),13.46338268,16.586902865
EX_r406(e),12.429267695,14.328709995
EX_LalaDgluMdap(e),8.469789154499999,10.47090941
EX_sch_57871_glc(e),11.451040715000001,13.0546952
EX_murein5p4p(e),0.0,0.0
EX_des_astzl_glc(e),11.924180419999999,12.289632265
EX_LalaLglu(e),13.03906259,14.376612205
EX_fe3dhbzs(e),1.445744961,2.6412817065
EX_man6p(e),0.20452942600000001,0.26187062099999997
EX_fcsn(e),11.376193205,13.05939926
EX_rpn_96990(e),15.5788252,10.835752605
EX_xylan4(e),14.151884615,10.8087226775
EX_phppa_glc(e),12.914582339999999,14.17432267
EX_vanlt(e),6.9992287645,11.679152675000001
EX_tgz_glc(e),12.223042235000001,14.163004995000001
EX_bvu(e),12.05183971,15.04785398
EX_ncam(e),10.63204674,14.592959955000001
EX_fol(e),12.04882256,13.36208685
