Metabolite,AB01-C35-NRZ-2018-146,AB01-C7-NRZ-2016-121,AB01-C48-NRZ-2018-539,AB01-C15-NRZ-2017-096,AB01-C16-NRZ-2017-115,AB01-C32-NRZ-2018-097,AB01-C9-NRZ-2016-342,AB01-C19-NRZ-2017-214,AB01-C50-NRZ-2018-649,AB01-C10-NRZ-2017-039,AB01-C41-NRZ-2018-300,AB01-C43-NRZ-2018-313,AB01-C36-NRZ-2018-236,AB01-C8-NRZ-2016-141,AB01-C27-NRZ-2017-508,AB01-C22-NRZ-2017-322,AB01-C45-NRZ-2018-326,AB01-C47-NRZ-2018-529,AB01-C49-NRZ-2018-646,AB01-C33-NRZ-2017-101,AB01-C13-NRZ-2017-069,AB01-C28-NRZ-2017-534,AB01-C31-NRZ-2018-043,AB01-C30-NRZ-2017-546,AB01-C18-NRZ-2017-195,AB01-C24-NRZ-2017-362,AB01-C42-NRZ-2018-307,AB01-C20-NRZ-2017-282,AB01-C39-NRZ-2018-286,AB01-C23-NRZ-2017-346,AB01-C34-NRZ-2018-123,AB01-C40-NRZ-2018-290,AB01-C2-NRZ-2015-218,AB01-C37-NRZ-2018-272,AB01-C5-NRZ-2016-071,AB01-C14-NRZ-2017-076,AB01-C26-NRZ-2017-434,AB01-C25-NRZ-2017-381,AB01-C46-NRZ-2018-396,AB01-C3-NRZ-2016-032,AB01-C1-NRZ-2014-065,AB01-C38-NRZ-2018-281,AB01-C29-NRZ-2017-537,AB01-C6-NRZ-2016-108,AB01-C11-NRZ-2017-040,AB01-C17-NRZ-2017-134,AB01-C44-NRZ-2017-339,AB01-C4-NRZ-2016-063,AB01-C21-NRZ-2017-283
DM_C01595[e],3.180655192,3.189091813,2.90537,3.293059274,3.476990418,3.420277965,3.19658633,2.482820773,3.225574109,3.244201198,3.414353798,2.512795983,3.48333005,3.18439958,2.930532327,3.2369544,3.492166547,2.791509751,3.477060037,2.979782716,3.382849914,3.444997553,3.420277965,2.293750773,3.431150956,3.428250051,3.442473414,2.930530879,3.455016004,3.433655258,3.200623431,3.188309259,2.92699268,3.240441209,3.031912261,3.390586469,3.162783177,3.268487891,3.404123048,3.174436587,2.957518951,3.474353411,3.222285903,3.258948596,3.292959126,2.981068632,2.981992704,3.178781407,2.933169002
DM_C02679[e],0.233442583,0.234061784,0.213238165,0.241692424,0.255191957,0.251029575,0.234611841,0.182225378,0.236739384,0.23810651,0.250594774,0.184425393,0.255657251,0.2337174,0.215084941,0.237574635,0.256305802,0.20488145,0.255197067,0.218699649,0.248282563,0.252843857,0.251029575,0.168348681,0.251827593,0.251614683,0.252658599,0.215084835,0.253579156,0.252011395,0.234908142,0.234004349,0.214825151,0.237830547,0.222525671,0.248850383,0.232130875,0.23988902,0.249843893,0.232986172,0.217065611,0.254998415,0.236498048,0.239188888,0.241685073,0.218794028,0.21886185,0.233305057,0.215278459
DM_C06425[e],0.058360646,0.058515446,0.053309541,0.060423106,0.063797989,0.062757394,0.05865296,0.045556344,0.059184846,0.059526627,0.062648694,0.046106348,0.063914313,0.05842935,0.053771235,0.059393659,0.06407645,0.051220362,0.063799267,0.054674912,0.062070641,0.063210964,0.062757394,0.04208717,0.062956898,0.062903671,0.06316465,0.053771209,0.063394789,0.063002849,0.058727035,0.058501087,0.053706288,0.059457637,0.055631418,0.062212596,0.058032719,0.059972255,0.062460973,0.058246543,0.054266403,0.063749604,0.059124512,0.059797222,0.060421268,0.054698507,0.054715462,0.058326264,0.053819615
DM_C06735[c],3.623332049,3.63823445,3.198616432,3.621420981,3.850916131,3.792347703,3.656419377,2.487590109,3.54484091,3.673523338,3.801039235,2.521933457,3.889832422,3.619913587,3.215022764,3.66581955,3.847594668,3.017364684,3.873245398,3.86629579,3.777835067,3.824625025,3.815902658,2.33501645,3.773142992,3.857575399,3.824771614,3.760183991,3.869193028,3.852563945,3.506055485,3.652939866,3.797610149,3.548916067,3.161684114,3.788664246,3.638114741,3.593338231,3.764142282,3.609051657,3.783994067,3.848247264,3.659978006,3.569394901,3.620066564,3.292139603,3.287823166,3.652763676,3.803068656
DM_C141[e],0.116721291,0.117030892,0.106619083,0.120846212,0.127595979,0.125514788,0.11730592,0.091112689,0.118369692,0.119053255,0.125297387,0.092212697,0.127828626,0.1168587,0.107542471,0.118787317,0.128152901,0.102440725,0.127598533,0.109349824,0.124141281,0.126421929,0.125514788,0.08417434,0.125913797,0.125807341,0.1263293,0.107542418,0.126789578,0.126005698,0.117454071,0.117002175,0.107412575,0.118915274,0.111262835,0.124425192,0.116065438,0.11994451,0.124921947,0.116493086,0.108532806,0.127499208,0.118249024,0.119594444,0.120842537,0.109397014,0.109430925,0.116652529,0.107639229
DM_C162[e],0.077814194,0.078020595,0.071079388,0.080564141,0.085063986,0.083676525,0.078203947,0.060741793,0.078913128,0.079368837,0.083531591,0.061475131,0.085219084,0.0779058,0.07169498,0.079191545,0.085435267,0.068293817,0.085065689,0.072899883,0.082760854,0.084281286,0.083676525,0.056116227,0.083942531,0.083871561,0.084219533,0.071694945,0.084526385,0.084003798,0.078302714,0.07800145,0.071608384,0.079276849,0.074175224,0.082950128,0.077376958,0.079963007,0.083281298,0.077662057,0.072355204,0.084999472,0.078832683,0.079729629,0.080561691,0.072931343,0.07295395,0.077768352,0.071759486
DM_C16537[e],0.019453549,0.019505149,0.017769847,0.020141035,0.021265996,0.020919131,0.019550987,0.015185448,0.019728282,0.019842209,0.020882898,0.015368783,0.021304771,0.01947645,0.017923745,0.019797886,0.021358817,0.017073454,0.021266422,0.018224971,0.020690214,0.021070321,0.020919131,0.014029057,0.020985633,0.02096789,0.021054883,0.017923736,0.021131596,0.02100095,0.019575678,0.019500362,0.017902096,0.019819212,0.018543806,0.020737532,0.01934424,0.019990752,0.020820324,0.019415514,0.018088801,0.021249868,0.019708171,0.019932407,0.020140423,0.018232836,0.018238487,0.019442088,0.017939872
DM_C170[e],0.019453549,0.019505149,0.017769847,0.020141035,0.021265996,0.020919131,0.019550987,0.015185448,0.019728282,0.019842209,0.020882898,0.015368783,0.021304771,0.01947645,0.017923745,0.019797886,0.021358817,0.017073454,0.021266422,0.018224971,0.020690214,0.021070321,0.020919131,0.014029057,0.020985633,0.02096789,0.021054883,0.017923736,0.021131596,0.02100095,0.019575678,0.019500362,0.017902096,0.019819212,0.018543806,0.020737532,0.01934424,0.019990752,0.020820324,0.019415514,0.018088801,0.021249868,0.019708171,0.019932407,0.020140423,0.018232836,0.018238487,0.019442088,0.017939872
DM_C183[e],0.311256777,0.312082379,0.284317553,0.322256565,0.340255943,0.334706101,0.312815788,0.24296717,0.315652512,0.317475347,0.334126366,0.245900524,0.340876335,0.3116232,0.286779922,0.31676618,0.341741069,0.273175266,0.340262756,0.291599532,0.331043417,0.337125143,0.334706101,0.224464907,0.335770124,0.335486244,0.336878132,0.28677978,0.338105542,0.336015193,0.313210856,0.312005799,0.286433534,0.317107397,0.296700894,0.331800511,0.309507834,0.319852026,0.333125191,0.310648229,0.289420815,0.339997887,0.315330731,0.318918517,0.322246765,0.291725371,0.2918158,0.31107341,0.287037945
DM_CHEBI35759[e],3.372245439,3.386732064,3.250809694,3.536668502,3.724042608,3.664025293,3.391268186,2.957598183,3.46236125,3.455417544,3.653209283,2.809942864,3.722477981,3.388409893,3.277829415,3.453101325,3.745965731,3.033759666,3.721302974,3.430619829,3.623208042,3.689152521,3.664025293,2.732839772,3.692428423,3.67021219,3.686872022,3.504594884,3.693451747,3.681258166,3.438881379,3.382881729,3.371631121,3.479479546,3.290527994,3.63102273,3.369140797,3.481358677,3.642395889,3.374355388,3.536842484,3.719512619,3.43070177,3.485345817,3.539888012,3.323112548,3.328199421,3.115551377,3.380864267
