Metabolite,AB01-C35-NRZ-2018-146,AB01-C7-NRZ-2016-121,AB01-C48-NRZ-2018-539,AB01-C15-NRZ-2017-096,AB01-C16-NRZ-2017-115,AB01-C32-NRZ-2018-097,AB01-C9-NRZ-2016-342,AB01-C19-NRZ-2017-214,AB01-C50-NRZ-2018-649,AB01-C10-NRZ-2017-039,AB01-C41-NRZ-2018-300,AB01-C43-NRZ-2018-313,AB01-C36-NRZ-2018-236,AB01-C8-NRZ-2016-141,AB01-C27-NRZ-2017-508,AB01-C22-NRZ-2017-322,AB01-C45-NRZ-2018-326,AB01-C47-NRZ-2018-529,AB01-C49-NRZ-2018-646,AB01-C33-NRZ-2017-101,AB01-C13-NRZ-2017-069,AB01-C28-NRZ-2017-534,AB01-C31-NRZ-2018-043,AB01-C30-NRZ-2017-546,AB01-C18-NRZ-2017-195,AB01-C24-NRZ-2017-362,AB01-C42-NRZ-2018-307,AB01-C20-NRZ-2017-282,AB01-C39-NRZ-2018-286,AB01-C23-NRZ-2017-346,AB01-C34-NRZ-2018-123,AB01-C40-NRZ-2018-290,AB01-C2-NRZ-2015-218,AB01-C37-NRZ-2018-272,AB01-C5-NRZ-2016-071,AB01-C14-NRZ-2017-076,AB01-C26-NRZ-2017-434,AB01-C25-NRZ-2017-381,AB01-C46-NRZ-2018-396,AB01-C3-NRZ-2016-032,AB01-C1-NRZ-2014-065,AB01-C38-NRZ-2018-281,AB01-C29-NRZ-2017-537,AB01-C6-NRZ-2016-108,AB01-C11-NRZ-2017-040,AB01-C17-NRZ-2017-134,AB01-C44-NRZ-2017-339,AB01-C4-NRZ-2016-063,AB01-C21-NRZ-2017-283
DM_C01595[e],3.228667209,3.231088858,2.992640604,3.450818483,3.591664278,3.513044446,3.231062873,2.619929677,3.412208874,3.233033407,3.535437112,2.656514756,3.556495705,3.24071033,3.034039335,3.232631651,3.570364798,2.349434026,3.565067818,3.103140242,3.51118023,3.566321117,3.513044446,2.385295717,3.532920931,3.490909386,3.566068413,3.005486865,3.588162447,3.508864422,3.389987382,3.251086188,3.062922214,3.422588327,2.958715256,3.50244694,3.243778764,3.302375792,3.515415257,3.242779298,3.035494262,3.566900182,3.223090962,3.437612071,3.457674085,3.050330287,3.061098641,3.245287123,3.057481758
DM_C02679[e],0.236966401,0.237144136,0.219643347,0.253271081,0.263608387,0.257838125,0.237142229,0.192288417,0.250437349,0.237286856,0.259481623,0.19497356,0.261027208,0.237850299,0.222681786,0.237257369,0.262045123,0.172435525,0.261656354,0.227753412,0.257701301,0.261748339,0.257838125,0.175067576,0.259296949,0.256213533,0.261729792,0.220586192,0.263351372,0.257531334,0.248806413,0.23861183,0.22480163,0.251199143,0.217153413,0.257060326,0.238075506,0.242376205,0.258012129,0.23800215,0.22278857,0.261790839,0.236557135,0.252301803,0.253774245,0.223877452,0.22466779,0.238186211,0.224402331
DM_C06425[e],0.0592416,0.059286034,0.054910837,0.06331777,0.065902097,0.064459531,0.059285557,0.048072104,0.062609337,0.059321714,0.064870406,0.04874339,0.065256802,0.059462575,0.055670447,0.059314342,0.065511281,0.043108881,0.065414088,0.056938353,0.064425325,0.065437085,0.064459531,0.043766894,0.064824237,0.064053383,0.065432448,0.055146548,0.065837843,0.064382833,0.062201603,0.059652958,0.056200408,0.062799786,0.054288353,0.064265081,0.059518876,0.060594051,0.064503032,0.059500538,0.055697142,0.06544771,0.059139284,0.063075451,0.063443561,0.055969363,0.056166948,0.059546553,0.056100583
DM_C06735[c],3.688561685,3.695655533,3.293687918,3.782717309,4.049538177,3.961174025,3.706209201,2.621185031,3.721635105,3.629674165,4.001090884,2.661173708,4.037844174,3.703578274,3.341947106,3.619770767,3.943317602,2.866869745,4.051658267,4.021394816,3.970370911,4.010414821,3.985634375,2.427655046,3.889873527,3.958344992,4.032211232,3.852585136,4.08382384,3.954420382,3.709410801,3.761212902,3.979979099,3.768427825,3.088147556,3.946982491,3.715352001,3.650088441,3.937885355,3.693371508,3.876865617,4.025708897,3.620873212,3.808322632,3.784460164,3.37063402,3.373961262,3.733754737,3.962800918
DM_C141[e],0.1184832,0.118572068,0.109821674,0.126635541,0.131804194,0.128919062,0.118571115,0.096144208,0.125218674,0.118643428,0.129740811,0.09748678,0.130513604,0.11892515,0.111340893,0.118628684,0.131022561,0.086217762,0.130828177,0.113876706,0.128850651,0.130874169,0.128919062,0.087533788,0.129648475,0.128106766,0.130864896,0.110293096,0.131675686,0.128765667,0.124403207,0.119305915,0.112400815,0.125599572,0.108576707,0.128530163,0.119037753,0.121188102,0.129006064,0.119001075,0.111394285,0.13089542,0.118278567,0.126150902,0.126887122,0.111938726,0.112333895,0.119093105,0.112201165
DM_C162[e],0.0789888,0.079048045,0.073214449,0.084423694,0.087869462,0.085946042,0.07904741,0.064096139,0.083479116,0.079095619,0.086493874,0.064991187,0.087009069,0.079283433,0.074227262,0.07908579,0.087348374,0.057478508,0.087218785,0.075917804,0.085900434,0.087249446,0.085946042,0.058355859,0.086432316,0.085404511,0.087243264,0.073528731,0.087783791,0.085843778,0.082935471,0.079537277,0.074933877,0.083733048,0.072384471,0.085686775,0.079358502,0.080792068,0.086004043,0.07933405,0.074262857,0.087263613,0.078852378,0.084100601,0.084591415,0.074625817,0.074889263,0.079395404,0.074800777
DM_C16537[e],0.0197472,0.019762011,0.018303612,0.021105923,0.021967366,0.02148651,0.019761852,0.016024035,0.020869779,0.019773905,0.021623469,0.016247797,0.021752267,0.019820858,0.018556816,0.019771447,0.021837094,0.014369627,0.021804696,0.018979451,0.021475108,0.021812362,0.02148651,0.014588965,0.021608079,0.021351128,0.021810816,0.018382183,0.021945948,0.021460944,0.020733868,0.019884319,0.018733469,0.020933262,0.018096118,0.021421694,0.019839625,0.020198017,0.021501011,0.019833513,0.018565714,0.021815903,0.019713095,0.02102515,0.021147854,0.018656454,0.018722316,0.019848851,0.018700194
DM_C170[e],0.0197472,0.019762011,0.018303612,0.021105923,0.021967366,0.02148651,0.019761852,0.016024035,0.020869779,0.019773905,0.021623469,0.016247797,0.021752267,0.019820858,0.018556816,0.019771447,0.021837094,0.014369627,0.021804696,0.018979451,0.021475108,0.021812362,0.02148651,0.014588965,0.021608079,0.021351128,0.021810816,0.018382183,0.021945948,0.021460944,0.020733868,0.019884319,0.018733469,0.020933262,0.018096118,0.021421694,0.019839625,0.020198017,0.021501011,0.019833513,0.018565714,0.021815903,0.019713095,0.02102515,0.021147854,0.018656454,0.018722316,0.019848851,0.018700194
DM_C183[e],0.315955201,0.316192182,0.292857796,0.337694775,0.35147785,0.343784166,0.316189639,0.256384556,0.333916465,0.316382474,0.345975497,0.259964747,0.348036277,0.317133733,0.296909048,0.316343158,0.349393497,0.229914033,0.348875138,0.303671216,0.343601735,0.348997785,0.343784166,0.233423434,0.345729265,0.341618044,0.348973056,0.294114923,0.351135163,0.343375112,0.331741884,0.318149107,0.299735507,0.334932191,0.289537884,0.342747101,0.317434008,0.323168273,0.344016172,0.3173362,0.297051426,0.349054452,0.315409513,0.336402405,0.33836566,0.29850327,0.299557054,0.317581615,0.299203108
DM_CHEBI35759[e],3.440024999,3.449524941,3.350189658,3.689322816,3.880161482,3.803715088,3.449501806,3.106619787,3.641257102,3.451954021,3.812715149,2.957546816,3.848674764,3.45858348,3.391897205,3.451598412,3.836304187,2.625890572,3.857483648,3.571619768,3.790012998,3.839070325,3.803715088,2.829212365,3.802430627,3.770399004,3.84848036,3.599546175,3.877231281,3.78779278,3.618405855,3.470303379,3.518063437,3.657618889,3.283313468,3.778975491,3.452975407,3.515643229,3.786866956,3.452280423,3.636914328,3.860454448,3.439338713,3.67952098,3.694542772,3.407111438,3.421344304,3.21111733,3.519234367
