Metabolites,D1005,D10074,D10119,D10122,D1114,D1327,D1359,D1382,D1466,D1595,D1611,D1636,D1651,D1688,D1736,D1778,D1949,D2005,D2006,D2088,D2179,D2373,D2394,D2508,D2654,D2758,D2846,D2851,D2906,D3114,D3197,D3425,D3434,D348,D3657,D3731,D3827,D3829,D3913,D3918,D3981,D4216,D4275,D443,D4907,D5122,D5419,D5444,D5680,D5887,D5925,D6042,D6088,D6124,D6295,D6376,D6383,D6497,D6511,D6516,D6724,D6772,D6993,D7378,D7394,D7452,D7469,D7709,D7779,D8095,D81,D8906,D907,D9164,D95,D9637,D9646,D9719,D994,D9951
EX_uri_e_,15.8290169,10.7791342,54.4943941,8.7733998,18.5661572,5.5936642,2.6431373,11.3006427,6.8447306,13.2028545,7.9767132,4.6764832,3.9576772,39.8186417,13.3005586,34.2433201,28.6247643,23.9734624,16.3641383,9.6717912,38.638686,16.909563,23.9390908,16.7129732,0.2229701,14.7869196,10.2423115,24.6311656,9.428561,4.9444343,42.889999,12.1503634,2.5390784,7.7780749,16.1499365,7.1749465,22.7930474,32.6541937,11.7787239,19.4529871,15.663222,0.112935,4.0642062,20.9349184,6.5957064,61.1123739,0.7822511,43.6337754,0.2406958,28.4764615,27.6111833,18.160398,4.4926856,16.5705645,0.372151,34.0000558,27.1021447,17.4494864,14.8939908,6.5583557,52.7170337,0.9611446,16.1952519,17.386431,0.581267,34.2706342,0.8732165,5.8082471,44.0344633,11.1017491,13.9527802,6.7580455,39.0080313,9.4295586,12.9669924,4.0389688,1.2449626,14.5430794,25.7143487,1.7307742
EX_pydx_e_,16.39153737,2.57742843,10.81217058,32.60604204,4.46809254,3.87201788,33.01130844,4.61978393,0.77880202,26.13017699,12.25352311,9.97471494,5.84498573,27.55662111,3.72076309,15.42625995,68.05901286,45.9311558,9.65184886,41.74672501,0.02965236,3.97762052,54.07543739,18.6002035,7.57090201,12.43113809,8.79415599,25.09384924,46.37191974,12.95913861,18.35050561,8.04936782,7.87459623,14.12382758,2.20895476,24.47169446,15.23733692,0.58207518,8.38536905,37.50920028,25.52286847,7.77647685,3.88023851,5.68789371,51.56650767,33.53983101,13.94015087,1.37155242,18.42973111,0.94311661,4.6629999,36.68395137,8.88593718,32.89730998,5.02660919,32.82978474,8.4926842,22.49475324,5.65873283,10.4869757,4.42786363,2.31187228,2.46739727,16.35828233,1.17499474,8.65475401,0.09288941,3.31150119,38.43838885,2.79974815,21.07098242,8.39853679,90.87219298,2.36087446,0.08265128,10.34410008,0.24337152,18.19519807,4.19249638,10.14222065
EX_tlf_a_m1_e_,18.85549621,5.88710368,3.9232789,8.72634831,4.61676332,31.38537863,36.50695927,10.2184587,5.70203126,7.33994022,12.34134058,10.85681368,19.0973304,43.69702708,0.65446547,23.40794555,54.00418763,2.00191919,11.47216801,24.60255132,3.2979138,31.25348427,12.96109483,8.80685795,17.22743429,13.23766523,8.72215504,8.97867781,42.9639122,6.1655058,1.4781572,13.25420457,0.11008504,11.94988046,32.77837883,36.78985899,11.02665185,23.49540873,1.20117525,31.00702799,69.13729982,19.36030318,12.84268781,30.00473088,6.86602611,49.99072584,25.83935667,19.51644479,4.34824991,20.37162995,42.02413747,3.31247242,24.84970149,17.54036739,19.36030318,20.33676509,20.72898935,16.01850089,6.47541001,19.11969674,1.55895446,23.91552637,8.32887533,11.69103916,57.84185143,17.07722619,31.28065068,10.44384876,20.33676509,0.34621386,15.52168011,0.41832477,19.22653064,2.89818035,13.06611606,0.27767676,0.07009659,25.43407344,6.04446538,41.17849934
EX_dopa_e_,16.84000664,11.04194584,11.75733285,22.45617458,3.62004059,18.78452445,5.04472333,2.37605474,0.04205569,2.53868561,6.51068142,5.58362736,15.31578317,2.1913003,15.60245865,56.88066083,41.41761861,26.52933021,25.58701936,4.53668425,10.98441545,0.92930392,28.1659662,14.56207639,15.38054165,0.89902495,15.67178352,18.83234003,45.89311749,1.65761367,7.29135775,13.61935525,4.83729949,11.9150976,12.51702942,25.4316161,18.83234003,10.99691052,15.8226896,5.1522666,14.77223585,23.27858787,22.07118969,12.38051407,3.2850696,21.71918567,26.89922986,22.57257092,18.17627425,2.87465033,12.29877263,25.15575957,8.557011,45.1178342,5.65193499,1.31866973,14.38159644,5.77018029,30.80647441,48.38211286,35.04949466,15.64227197,0.07277382,22.16255688,13.07657593,28.30406929,50.51780898,10.72590948,4.43112215,2.38334279,11.2114649,3.69564028,70.35833841,8.55867835,2.87608904,3.34833802,0.8875166,22.16217248,8.36836247,22.8510407
EX_R_7oh_warf_glc_e_,44.9227076,21.725761,3.9486309,31.50041,21.5038199,15.4347849,34.7469924,10.7557561,2.865764,43.9605063,19.8053258,1.5099907,19.6232995,0.9120037,21.9338602,36.8974543,29.753459,9.8897097,11.1933847,10.9447262,67.0713849,4.7972511,15.2734593,12.6057361,15.627665,1.8157039,10.948016,18.1074393,0.4917574,36.2611346,6.411309,1.9460417,7.4694923,10.462914,26.6678946,15.3130197,4.923358,40.0313023,20.4125621,9.0680814,14.0768835,0.7146813,22.0642994,5.2685086,14.939447,11.5343478,9.5107681,23.2612668,27.6176089,20.8243128,16.8147192,8.9453528,2.2379853,32.1746944,16.1833035,24.2556248,33.1629706,5.4179444,17.1224545,22.5582228,24.2556248,1.1856126,5.016543,29.5390483,1.7875067,32.4624632,18.2852737,4.3473143,30.8751712,31.5591069,11.0719965,26.0580688,16.1833035,21.9354809,10.8834416,14.0894846,0.3675529,21.9380027,60.4411043,2.9221482
EX_xylb_e_,11.8938566,10.3443783,1.9654221,26.9943849,0.7044947,25.3778724,16.0012771,14.1541801,5.4533276,5.3807494,25.5278483,4.7119843,21.3561231,8.4131216,1.2672866,47.7832938,32.3016433,27.9885558,21.5203361,9.6327774,99.5446454,5.8814453,11.4321928,0.8546551,11.2880765,2.277703,29.9828482,21.0935922,52.7952717,14.7006895,23.0258428,29.954406,5.4731356,19.5197463,21.4713026,29.9828482,7.5460836,6.7250651,8.849665,21.0935922,32.3016433,3.7482271,9.1019528,4.8363952,47.7527419,10.5210889,3.9224226,13.6210542,11.6529302,10.5147209,58.0375873,19.4971978,19.7469915,46.5380346,35.0534788,21.3561231,13.2432245,9.5637097,19.4162703,33.1995573,41.6705469,15.6637849,17.7318863,0.6214649,79.5931123,1.0072974,21.594432,16.844142,45.3167617,19.4971978,12.0144218,19.4162703,55.0153159,14.675096,16.3145609,7.963037,0.9060994,22.3783514,14.8931138,6.6789808
EX_S_6oh_warf_e_,39.1646797,21.4625541,0.1702213,6.881702,7.5950191,6.5342891,4.815171,2.9108177,0.2659033,1.9434932,3.2980507,3.0812679,31.9061904,48.4123147,9.0634288,0.7328155,41.7434248,9.7246443,6.7974037,19.7060793,18.9483579,23.1302526,9.9686432,0.7340794,13.5556371,20.1192797,6.1127253,1.1423477,27.287065,17.5287861,21.5735989,4.7760179,17.6752913,4.8948843,13.2608777,0.7513185,6.8512296,10.3048627,32.3412758,30.2099335,2.0681724,6.8036482,14.1494005,7.4641304,21.6432834,35.8538677,3.4728266,11.8562151,4.5366442,4.5385851,6.0041634,7.304841,21.0938462,1.8927388,13.5556371,14.1494005,6.5201929,0.2534955,21.3622679,40.1677932,11.0611114,25.78904,15.1251589,12.958781,25.9660019,2.2475981,6.2810727,9.2821435,1.2596366,2.0659924,39.0718304,34.1246544,6.4849869,4.0290369,12.1163725,12.8155069,3.6707781,18.431065,18.7029205,19.5476171
EX_am6_e_,27.48357043,6.69976308,29.03358145,21.9286101,13.59208143,0.56035385,28.13670898,9.21889238,7.07224834,27.26200142,26.71966128,2.65144684,2.03749498,0.08432069,7.66951971,28.86274366,37.99278985,22.3052721,14.21884072,20.7076543,17.67647035,20.88137154,15.98665163,2.5153853,9.71080116,10.04706427,11.42774092,22.28326758,7.95345863,73.23215831,7.45155672,5.19963884,4.12206956,4.94639141,13.91376128,29.88676042,18.60918597,12.30960592,37.44587609,1.81970366,34.01081748,0.72656693,49.41410258,8.92811167,25.78776883,4.61392732,5.19900211,14.64094619,20.58262162,14.39134869,8.90229996,26.5415346,1.16043678,22.71460499,7.12544001,28.13670898,26.66604909,4.28838367,28.88792439,9.72420034,17.64177257,3.22047238,15.63698351,7.21143907,17.44818494,3.71329559,7.04371141,6.69838761,4.22079825,18.37273172,12.48171904,2.18685222,20.78351463,4.30137512,2.8922822,0.41019261,0.50072433,33.03848913,7.12544001,2.89416849
EX_dmso_e_,20.6903168,0.1751673,25.8784727,1.8670029,15.7490408,30.2619936,1.7251027,19.5896313,9.4278554,30.7398926,6.000518,1.3127874,8.1854776,43.1708861,18.4986412,24.3240067,19.7462229,73.2874782,11.4703348,33.0088377,6.1722155,30.8328277,25.0140469,12.2971963,16.5525401,7.8764207,3.3474958,11.7931505,12.9910541,4.3861259,12.0876822,2.4923275,1.1500344,4.0450345,14.1660399,58.4707103,22.5705133,2.0532155,32.1737684,4.6693988,18.684839,18.165603,32.7047824,43.6783159,44.1846813,48.9362878,22.4388418,20.5631388,10.0428053,1.8949695,22.2845023,2.6568139,3.4811046,38.9622629,35.9971735,6.0564003,24.2467113,16.310195,18.0397601,13.60601,30.0038697,21.5367094,24.5108346,29.4146147,11.1719934,3.2915576,8.1537188,29.7227845,23.4965571,3.5741324,13.8085791,14.622085,11.4925266,17.3712513,25.0929963,29.9713736,1.4996599,3.9918351,0.8583497,6.9361426
EX_tlf_a_m9_e_,32.52788955,27.64544035,41.6511676,1.86684263,19.93925068,18.95394447,8.04572715,15.31187449,7.85527702,28.93256134,2.46639759,8.02619062,13.17937882,0.44530156,7.49472537,43.81014056,9.12594511,30.02299398,14.050005,9.83346209,50.45228262,4.57852803,8.54695896,8.20820376,16.94561642,12.20705004,33.73839176,15.75749127,21.88837748,25.32630181,36.9474723,2.39366941,4.91964218,6.05969483,28.50504989,19.90332386,7.03055641,15.94180817,4.99839668,7.57680104,2.27689332,39.03508887,1.44165989,10.46175932,35.63480647,29.12089085,20.46883635,7.23740297,30.5900571,0.04715905,14.58945508,38.58216719,11.26066561,24.05522718,13.43181208,19.15347723,5.07097887,1.41249972,5.45218616,40.76591138,16.9868894,30.90063129,12.83150367,19.15698884,8.71279618,13.43181208,18.48893078,14.60335164,45.1947115,5.869908,9.7368109,29.5542183,7.36968997,19.15347723,20.7791819,0.59156035,1.61674364,0.38501526,37.79181016,1.89063072
