Metabolite,AB01-C35-NRZ-2018-146,AB01-C7-NRZ-2016-121,AB01-C48-NRZ-2018-539,AB01-C15-NRZ-2017-096,AB01-C16-NRZ-2017-115,AB01-C32-NRZ-2018-097,AB01-C9-NRZ-2016-342,AB01-C19-NRZ-2017-214,AB01-C50-NRZ-2018-649,AB01-C10-NRZ-2017-039,AB01-C41-NRZ-2018-300,AB01-C43-NRZ-2018-313,AB01-C36-NRZ-2018-236,AB01-C8-NRZ-2016-141,AB01-C27-NRZ-2017-508,AB01-C22-NRZ-2017-322,AB01-C45-NRZ-2018-326,AB01-C47-NRZ-2018-529,AB01-C49-NRZ-2018-646,AB01-C33-NRZ-2017-101,AB01-C13-NRZ-2017-069,AB01-C28-NRZ-2017-534,AB01-C31-NRZ-2018-043,AB01-C30-NRZ-2017-546,AB01-C18-NRZ-2017-195,AB01-C24-NRZ-2017-362,AB01-C42-NRZ-2018-307,AB01-C20-NRZ-2017-282,AB01-C39-NRZ-2018-286,AB01-C23-NRZ-2017-346,AB01-C34-NRZ-2018-123,AB01-C40-NRZ-2018-290,AB01-C2-NRZ-2015-218,AB01-C37-NRZ-2018-272,AB01-C5-NRZ-2016-071,AB01-C14-NRZ-2017-076,AB01-C26-NRZ-2017-434,AB01-C25-NRZ-2017-381,AB01-C46-NRZ-2018-396,AB01-C3-NRZ-2016-032,AB01-C1-NRZ-2014-065,AB01-C38-NRZ-2018-281,AB01-C29-NRZ-2017-537,AB01-C6-NRZ-2016-108,AB01-C11-NRZ-2017-040,AB01-C17-NRZ-2017-134,AB01-C44-NRZ-2017-339,AB01-C4-NRZ-2016-063,AB01-C21-NRZ-2017-283
DM_C01595[e],0.255018473,0.258271905,0.247393445,0.263971209,0.267926053,0.26484733,0.257285986,0.260207609,0.260320928,0.265732109,0.262506599,0.26007177,0.265823995,0.260060691,0.247349452,0.266644909,0.27514629,0.210671424,0.266885052,0.26483153,0.261825446,0.267103135,0.26484733,0.251006879,0.273929553,0.260410413,0.266885052,0.26378791,0.264099585,0.262760094,0.258682427,0.255018473,0.260270406,0.262532803,0.267176728,0.262542011,0.256153136,0.244338998,0.263929646,0.25777845,0.266203785,0.267103135,0.263082814,0.259846251,0.264804627,0.247164029,0.249938421,0.251766118,0.262575725
DM_C02679[e],0.018716952,0.018955736,0.018157317,0.019374034,0.019664297,0.019438336,0.018883375,0.019097806,0.019106123,0.019503274,0.019266539,0.019087836,0.019510018,0.019087023,0.018154088,0.019570269,0.020194223,0.015462123,0.019587894,0.019437177,0.019216546,0.0196039,0.019438336,0.018422523,0.020104921,0.019112691,0.019587894,0.019360581,0.019383456,0.019285145,0.018985866,0.018716952,0.019102415,0.019268463,0.019609301,0.019269138,0.01880023,0.017933137,0.019370983,0.018919519,0.019537893,0.0196039,0.01930883,0.019071284,0.019435202,0.018140479,0.018344104,0.018478247,0.019271613
DM_C06425[e],0.004679238,0.004738934,0.004539329,0.004843508,0.004916074,0.004859584,0.004720844,0.004774452,0.004776531,0.004875819,0.004816635,0.004771959,0.004877504,0.004771756,0.004538522,0.004892567,0.005048556,0.003865531,0.004896973,0.004859294,0.004804137,0.004900975,0.004859584,0.004605631,0.00502623,0.004778173,0.004896973,0.004840145,0.004845864,0.004821286,0.004746467,0.004679238,0.004775604,0.004817116,0.004902325,0.004817285,0.004700058,0.004483284,0.004842746,0.00472988,0.004884473,0.004900975,0.004827208,0.004767821,0.0048588,0.00453512,0.004586026,0.004619562,0.004817903
DM_C06735[c],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DM_C141[e],0.009358476,0.009477868,0.009078659,0.009687017,0.009832149,0.009719168,0.009441688,0.009548903,0.009553062,0.009751637,0.00963327,0.009543918,0.009755009,0.009543512,0.009077044,0.009785134,0.010097112,0.007731061,0.009793947,0.009718588,0.009608273,0.00980195,0.009719168,0.009211262,0.010052461,0.009556345,0.009793947,0.00968029,0.009691728,0.009642572,0.009492933,0.009358476,0.009551208,0.009634231,0.009804651,0.009634569,0.009400115,0.008966569,0.009685492,0.00945976,0.009768946,0.00980195,0.009654415,0.009535642,0.009717601,0.00907024,0.009172052,0.009239124,0.009635806
DM_C162[e],0.006238984,0.006318579,0.006052439,0.006458011,0.006554766,0.006479445,0.006294458,0.006365935,0.006368708,0.006501091,0.00642218,0.006362612,0.006503339,0.006362341,0.006051363,0.006523423,0.006731408,0.005154041,0.006529298,0.006479059,0.006405515,0.006534633,0.006479445,0.006140841,0.00670164,0.006370897,0.006529298,0.006453527,0.006461152,0.006428382,0.006328622,0.006238984,0.006367472,0.006422821,0.006536434,0.006423046,0.006266743,0.005977712,0.006456994,0.006306506,0.006512631,0.006534633,0.006436277,0.006357095,0.006478401,0.006046826,0.006114701,0.006159416,0.006423871
DM_C16537[e],0.001559746,0.001579645,0.00151311,0.001614503,0.001638691,0.001619861,0.001573615,0.001591484,0.001592177,0.001625273,0.001605545,0.001590653,0.001625835,0.001590585,0.001512841,0.001630856,0.001682852,0.00128851,0.001632324,0.001619765,0.001601379,0.001633658,0.001619861,0.00153521,0.00167541,0.001592724,0.001632324,0.001613382,0.001615288,0.001607095,0.001582156,0.001559746,0.001591868,0.001605705,0.001634108,0.001605762,0.001566686,0.001494428,0.001614249,0.001576627,0.001628158,0.001633658,0.001609069,0.001589274,0.0016196,0.001511707,0.001528675,0.001539854,0.001605968
DM_C170[e],0.001559746,0.001579645,0.00151311,0.001614503,0.001638691,0.001619861,0.001573615,0.001591484,0.001592177,0.001625273,0.001605545,0.001590653,0.001625835,0.001590585,0.001512841,0.001630856,0.001682852,0.00128851,0.001632324,0.001619765,0.001601379,0.001633658,0.001619861,0.00153521,0.00167541,0.001592724,0.001632324,0.001613382,0.001615288,0.001607095,0.001582156,0.001559746,0.001591868,0.001605705,0.001634108,0.001605762,0.001566686,0.001494428,0.001614249,0.001576627,0.001628158,0.001633658,0.001609069,0.001589274,0.0016196,0.001511707,0.001528675,0.001539854,0.001605968
DM_C183[e],0.024955936,0.025274315,0.024209756,0.025832045,0.026219063,0.025917782,0.025177834,0.025463742,0.025474831,0.026004365,0.025688719,0.025450448,0.026013357,0.025449364,0.024205451,0.026093691,0.026925631,0.020616164,0.026117192,0.025916235,0.025622062,0.026138533,0.025917782,0.024563364,0.026806562,0.025483588,0.026117192,0.025814107,0.025844608,0.025713526,0.025314488,0.024955936,0.025469887,0.025691283,0.026145735,0.025692185,0.025066974,0.02391085,0.025827978,0.025226026,0.026050523,0.026138533,0.025745107,0.025428379,0.025913603,0.024187306,0.024458806,0.024637663,0.025695484
DM_CHEBI35759[e],0.779873007,0.789822339,0.756554878,0.807251404,0.819345728,0.809930674,0.786807298,0.795741923,0.796088466,0.812636418,0.802772475,0.795326514,0.812917415,0.795292633,0.756420343,0.815427855,0.841425964,0.644255119,0.816162239,0.809882355,0.800689437,0.81682916,0.809930674,0.767605135,0.837705055,0.796362121,0.816162239,0.806690857,0.807643991,0.803547688,0.791077758,0.779873007,0.795933963,0.802852608,0.817054214,0.802880768,0.783342925,0.74721406,0.8071243,0.788313303,0.814078854,0.81682916,0.804534601,0.794636853,0.809800083,0.755853298,0.764337678,0.769926966,0.80298387
