,old,new
0,R07859KEGGR07859[c],R1
1,R07888KEGGR07888[n],R2
2,R07888KEGGR07888[c],R3
3,R07888KEGGR07888[p],R4
4,R07889KEGGR07889[c],R5
5,R07889KEGGR07889[m],R6
6,R07891KEGGR07891[e],R7
7,R07891KEGGR07891[m],R8
8,R07892KEGGR07892[n],R9
9,R07892KEGGR07892[c],R10
10,R07892KEGGR07892[p],R11
11,R07893KEGGR07893[c],R12
12,R07893KEGGR07893[m],R13
13,R07895KEGGR07895[e],R14
14,R07895KEGGR07895[m],R15
15,R07896KEGGR07896[n],R16
16,R07896KEGGR07896[c],R17
17,R07896KEGGR07896[p],R18
18,R07897KEGGR07897[c],R19
19,R07897KEGGR07897[m],R20
20,R07899KEGGR07899[e],R21
21,R07899KEGGR07899[m],R22
22,R456ANIGERR00489[c],R23
23,R456ANIGERR00489[m],R24
24,r0172YCM606R00904[c],R25
25,r0172YCM606R00904[m],R26
26,r0843YCM606R02473[c],R27
27,r152[m],R28
28,r242iLC915R03139[n],R29
29,r242iLC915R03139[c],R30
30,r242iLC915R03139[p],R31
31,r613[n],R32
32,r613[c],R33
33,r613[e],R34
34,r969AORYZAE[c],R35
35,r969AORYZAE[m],R36
36,R04328KEGGR04328[c],R37
37,R08612KEGGR08612[e],R38
38,R411ANIGERR04862[c],R39
39,R412ANIGERR01936[c],R40
40,RXN9497MetaCyc[er],R41
41,r1077ANIDULANSR03111[n],R42
42,r1077ANIDULANSR03111[c],R43
43,r1078ANIDULANS[n],R44
44,r1078ANIDULANS[c],R45
45,R00269KEGGR00269[c],R46
46,R00269KEGGR00269[m],R47
47,R00708KEGGR00708[m],R48
48,R03528KEGGR03528[n],R49
49,R03528KEGGR03528[c],R50
50,R292ANIGER[n],R51
51,R292ANIGER[c],R52
52,R335ANIGERR00357[c],R53
53,R363ANIGERR00707[m],R54
54,r0156YCM606R00369[c],R55
55,r0207YCM606R01086[c],R56
56,r0208YCM606R01954[c],R57
57,r0211YCM606R00578[c],R58
58,r0475YCM606R00256[c],R59
59,r0475YCM606R00256[e],R60
60,r0679YCM606R00485[c],R61
61,r0679YCM606R00485[e],R62
62,r1088iLC915R05861[p_c],R63
63,r567AORYZAER00483[c],R64
64,r573[n],R65
65,r573[c],R66
66,r585AORYZAE[n],R67
67,r585AORYZAE[c],R68
68,r703AORYZAE[c],R69
69,r703AORYZAE[m],R70
70,R01657KEGGR01657[n],R71
71,R01657KEGGR01657[m],R72
72,R02383KEGGR02383[c],R73
73,R02383KEGGR02383[e],R74
74,R04027KEGGR04027[n],R75
75,R04027KEGGR04027[c],R76
76,R04027KEGGR04027[p],R77
77,R05334KEGGR05334[n],R78
78,R05334KEGGR05334[c],R79
79,R05334KEGGR05334[p],R80
80,R10128KEGGR10128[n],R81
81,R10128KEGGR10128[c],R82
82,R10163KEGGR10163[c],R83
83,R10163KEGGR10163[m],R84
84,R10166KEGGR10166[n],R85
85,R10166KEGGR10166[c],R86
86,R10200KEGGR10200[m],R87
87,R10201KEGGR10201[n],R88
88,R10201KEGGR10201[c],R89
89,R12090KEGGR12090[c],R90
90,R12090KEGGR12090[m],R91
91,r241iLC915R06740[n],R92
92,r241iLC915R06740[c],R93
93,r241iLC915R06740[p],R94
94,R00022KEGGR00022[c],R95
95,R00022KEGGR00022[e],R96
96,R00660KEGGR00660[c],R97
97,R00660KEGGR00660[m],R98
98,R01206KEGGR01206[e],R99
99,R01384KEGGR01384[c],R100
100,R01964KEGGR01964[c],R101
101,R01964KEGGR01964[m],R102
102,R01965KEGGR01965[c],R103
103,R01965KEGGR01965[m],R104
104,R01966KEGGR01966[c],R105
105,R02334KEGGR02334[e],R106
106,R02636KEGGR02636[c],R107
107,R02833KEGGR02833[c],R108
108,R05191KEGGR05191[c],R109
109,R08555KEGGR08555[c],R110
110,R300ANIGERR01961[c],R111
111,R300ANIGERR01961[m],R112
112,R302ANIGERR00418[c],R113
113,R302ANIGERR00418[m],R114
114,RXN05226MetaCyc[c],R115
115,RXN05226MetaCyc[e],R116
116,r0271YCM606R02333[c],R117
117,r0272YCM606R02335[c],R118
118,r0465YCM606R00765[m],R119
119,r0477YCM606R00768[c],R120
120,r0760YCM606R02058[c],R121
121,r0882YCM606R08193[c],R122
122,r1069YCM606R00416[c],R123
123,r443AORYZAER08715[c],R124
124,r458ANIDULANSR01762[e],R125
125,r458ANIDULANSR01762[c],R126
126,R05197KEGGR05197[c],R127
127,R05197KEGGR05197[m],R128
128,r333[n],R129
129,r333[e],R130
130,r333[m],R131
131,r565[er],R132
132,R05733KEGGR05733[er],R133
133,R07908KEGGR07908[e],R134
134,R07908KEGGR07908[m],R135
135,R07908KEGGR07908[er],R136
136,R07909KEGGR07909[e],R137
137,R07909KEGGR07909[m],R138
138,R07909KEGGR07909[er],R139
139,R03867KEGGR03867[c],R140
140,R07042KEGGR07042[c],R141
141,R07043KEGGR07043[c],R142
142,R07044KEGGR07044[c],R143
143,R07045KEGGR07045[c],R144
144,R07046KEGGR07046[c],R145
145,R07048KEGGR07048[c],R146
146,R07050KEGGR07050[c],R147
147,R07051KEGGR07051[c],R148
148,R07052KEGGR07052[c],R149
149,R07054KEGGR07054[c],R150
150,r0707YCM606R03057[n],R151
151,r0707YCM606R03057[c],R152
152,r1038YCM606R02016[c],R153
153,ACETYLORNDEACETRXNMetaCyc[c],R154
154,PRDABSTRXNMetaCyc[c],R155
155,R00557KEGGR00557[c],R156
156,R00668KEGGR00668[c],R157
157,R00668KEGGR00668[p],R158
158,R00671KEGGR00671[c],R159
159,R01249KEGGR01249[c],R160
160,R01343KEGGR01343[c],R161
161,R01343KEGGR01343[p],R162
162,R01416KEGGR01416[n],R163
163,R01416KEGGR01416[c],R164
164,R01986KEGGR01986[c],R165
165,R01986KEGGR01986[m],R166
166,R02894KEGGR02894[c],R167
167,R02894KEGGR02894[p],R168
168,R04025KEGGR04025[c],R169
169,R04221KEGGR04221[c],R170
170,R04221KEGGR04221[p],R171
171,R04445KEGGR04445[m],R172
172,R05050KEGGR05050[c],R173
173,R339ANIGERR00667[c],R174
174,R339ANIGERR00667[p],R175
175,R342ANIGERR00551[c],R176
176,R342ANIGERR00551[m],R177
177,R346ANIGERR01398[m],R178
178,R351ANIGERR02282[m],R179
179,R449ANIGERR00245[m],R180
180,R451ANIGERR01251[c],R181
181,R452ANIGER[n],R182
182,R452ANIGER[c],R183
183,R453ANIGERR01248[c],R184
184,UREASERXNMetaCyc[n],R185
185,UREASERXNMetaCyc[c],R186
186,r0115YCM606R02649[m],R187
187,r0118YCM606R02283[m],R188
188,r0199YCM606R03180[c],R189
189,r0201YCM606R02549[c],R190
190,r0201YCM606R02549[m],R191
191,r0216YCM606R00355[c],R192
192,r0216YCM606R00355[m],R193
193,r0216YCM606R00355[p],R194
194,r0468YCM606R00239[c],R195
195,r0473YCM606R03313[c],R196
196,r0672YCM606R04444[m],R197
197,r0673YCM606R05051[m],R198
198,r0674YCM606R00258[m],R199
199,r0687YCM606R03293[c],R200
200,r0759YCM606R03443[m],R201
201,r0761YCM606R00259[m],R202
202,r0937YCM606R09076[c],R203
203,r0937YCM606R09076[v],R204
204,r1075YCM606R00774[c],R205
205,r519iLC915R05052[c],R206
206,r519iLC915R05052[m],R207
207,r522ANIDULANSR00670[c],R208
208,r524ANIDULANS[n],R209
209,r603AORYZAER00669[c],R210
210,r603AORYZAER00669[e],R211
211,r612AORYZAER01157[e],R212
212,r618AORYZAER01252[e],R213
213,r639AORYZAER01255[c],R214
214,r652AORYZAE[c],R215
215,r701ANIDULANS[c],R216
216,r702ANIDULANS[c],R217
217,r706ANIDULANSR03293[c],R218
218,r707ANIDULANSR03291[c],R219
219,r856iLC915R00471[c],R220
220,r856iLC915R00471[m],R221
221,R02957KEGGR02957[c],R222
222,R08615KEGGR08615[c],R223
223,RXN14225MetaCyc[c],R224
224,r1807AORYZAE[c],R225
225,R12417KEGGR12417[m],R226
226,R12418KEGGR12418[c],R227
227,R12419KEGGR12419[c],R228
228,R12419KEGGR12419[m],R229
229,R12420KEGGR12420[n],R230
230,RXN2204MetaCyc[c],R231
231,RXN6685MetaCyc[m],R232
232,RXN8011MetaCyc[er],R233
233,RXN8052MetaCyc[n],R234
234,RXN8052MetaCyc[c],R235
235,RXN8054MetaCyc[n],R236
236,RXN8054MetaCyc[c],R237
237,RXN9167MetaCyc[c],R238
238,RXN9168MetaCyc[c],R239
239,r184[c],R240
240,r250[n],R241
241,r250[c],R242
242,r376[c],R243
243,r376[m],R244
244,r499[p],R245
245,r499[m],R246
246,R10115KEGGR10115[m],R247
247,R10116KEGGR10116[c],R248
248,R10119KEGGR10119[m],R249
249,R10120KEGGR10120[c],R250
250,R10124KEGGR10124[c],R251
251,R10124KEGGR10124[p],R252
252,R114ANIGER[n],R253
253,R114ANIGER[c],R254
254,R600ANIGERR04385[n],R255
255,R600ANIGERR04385[c],R256
256,r0094YCM606R03210[c],R257
257,r0146YCM606R03231[m],R258
258,r0229YCM606[m],R259
259,r0230YCM606R01074[m],R260
260,r0335YCM606R03182[m],R261
261,r1795AORYZAE[m],R262
262,r1797AORYZAER05145[m],R263
263,r669iLC915R01078[m],R264
264,R00215KEGGR00215[c],R265
265,R00226KEGGR00226[c],R266
266,R00226KEGGR00226[m],R267
267,R01361KEGGR01361[c],R268
268,R01976KEGGR01976[m],R269
269,R03545KEGGR03545[c],R270
270,R741ANIGERR01176[c],R271
271,R741ANIGERR01176[m],R272
272,R84ANIGERR00713[c],R273
273,R84ANIGERR00713[m],R274
274,R854ANIGERR01175[p],R275
275,R854ANIGERR01175[m],R276
276,RXN12086MetaCyc[e],R277
277,RXN12086MetaCyc[m],R278
278,RXN12086MetaCyc[n],R279
279,r0068YCM606R01648[m],R280
280,r0095YCM606[c],R281
281,r0469YCM606R00261[c],R282
282,r0469YCM606R00261[m],R283
283,r0559YCM606R01978[c],R284
284,r0559YCM606R01978[m],R285
285,r1023YCM606R00714[c],R286
286,r1023YCM606R00714[m],R287
287,r189AORYZAER01357[c],R288
288,r189AORYZAER01357[p],R289
289,r809AORYZAER01360[c],R290
290,r809AORYZAER01360[m],R291
291,r904iLC915R03026[m],R292
292,r92AORYZAER00410[m],R293
293,ry116YCM606[p],R294
294,r0668YCM606R02404[m],R295
295,r77iLC915R00994[c],R296
296,R07939KEGGR07939[c],R297
297,R07945KEGGR07945[c],R298
298,R07981KEGGR07981[c],R299
299,RXN12706MetaCyc[c],R300
300,RXN12706MetaCyc[p],R301
301,RXN12710MetaCyc[e],R302
302,RXN12710MetaCyc[m],R303
303,RXN6624MetaCyc[c],R304
304,ISOCITRATEDEHYDROGENASENADRXNMetaCyc[m],R305
305,R00727KEGGR00727[m],R306
306,R41ANIGERR00432[m],R307
307,R53ANIGERR00352[c],R308
308,RXN14047MetaCyc[m],R309
309,r0091iAL1006R01700[m],R310
310,r0280YCM606R01900[m],R311
311,r0300YCM606R00351[p],R312
312,r0300YCM606R00351[m],R313
313,r0302YCM606R01325[m],R314
314,r0451YCM606R01082[m],R315
315,r0658YCM606R00709[m],R316
316,r0661YCM606R00267[c],R317
317,r0661YCM606R00267[p],R318
318,r0713YCM606R00342[c],R319
319,r0713YCM606R00342[m],R320
320,r0958YCM606R00344[c],R321
321,r1022YCM606R00405[m],R322
322,r151[c],R323
323,r151[m],R324
324,r155[c],R325
325,r155[m],R326
326,r172iLC915R00621[m],R327
327,r173iLC915R03316[m],R328
328,r34[c],R329
329,r34[m],R330
330,r367[m],R331
331,r367[c],R332
332,r367[p],R333
333,r403iLC915R02570[m],R334
334,r407[c],R335
335,r407[m],R336
336,r455[m],R337
337,r455[c],R338
338,r455[p],R339
339,r459[m],R340
340,r459[c],R341
341,r459[p],R342
342,r504[c],R343
343,r504[m],R344
344,r587[m],R345
345,r587[c],R346
346,r587[p],R347
347,r652[m],R348
348,r652[c],R349
349,r652[p],R350
350,r67iLC915R00268[c],R351
351,r67iLC915R00268[p],R352
352,r680[m],R353
353,r680[c],R354
354,r680[p],R355
355,r69iLC915R01899[c],R356
356,r69iLC915R01899[p],R357
357,r70iLC915R01899[c],R358
358,r70iLC915R01899[p],R359
359,r798[c],R360
360,r798[m],R361
361,r893[c],R362
362,r893[m],R363
363,R04633KEGGR04633[e],R364
364,R05112KEGGR05112[e],R365
365,R07135KEGGR07135[c],R366
366,R08613KEGGR08613[e],R367
367,R08614KEGGR08614[e],R368
368,R4ANIGER[c],R369
369,R6ANIGER[c],R370
370,r110[m],R371
371,r141[e],R372
372,r335[c],R373
