"","D5444","D7394","D3913","D7378","D81","D95","D994","D8906","D6124","D3434","D1611","D5419","D1005","D3425","D2758","D1736","D9637","D1651","D6772","D907","D3197","D1114","D1359","D3827","D2088","D1595","D1688","D3918","D2906","D2373","D2851","D2508","D6088","D4907","D5680","D8095","D5887","D6295","D9646","D9719","D6383","D7709","D5122","D7779","D443","D348","D1466","D9164","D6993","D3981","D1949","D6511","D1327","D3829","D3114","D2005","D10122","D2179","D7452","D1382","D3731","D6516","D1636","D4216","D2394","D1778","D2006","D6042","D3657","D2654","D4275","D2846","D6497","D5925","D7469","D10074","D6376","D6724","D9951","D10119"
"Treponema_denticola",0,0,0,0.000870541738123634,0,0.00302442729108768,0,0,0,0.00308318431275822,0,0.155462968720851,0,0.000752909997138942,0.00502285398563464,0.00918864283745291,0,0.013332851241537,0.00224316428671334,0.0694565028650807,0,0.00869376222560313,0,0.0109325461900077,0,0,0,0,0,0,0,0,0,0,0.0885570800825038,0,0,0,0.0808220759727514,0,0.058440474202705,0,0,0,0.0182882223847842,0.0038478759724632,0,0.0148235991698784,0.0366720146688059,0,0,0.0447027268663388,0.0597014925373134,0,0.00251949458938537,0,0,0.00645994832041344,0.000733218462440884,0.000239050872416159,0,0.094535730327689,0,0.32478077297824,0,0,0,0,0,0,0,0.0763242253091131,0,0,0.0613936355264504,0,0,0.020951915354262,0.00871915598570058,0.0173332755557481
"Leptotrichia_buccalis",0.0619099210648506,0.00248285793500706,0.0176496543609354,0,0.0119267696344445,0.00137779465482883,0,0.0391895599012423,0.0396405919661734,0,0,0.0217648156209191,0,0.000301163998855577,0.0150685619569039,0,0.0223313979455114,0.005875493767457,0.000131950840394902,0.0520923771488106,0,0.0239078461204086,0,0.0109325461900077,0,0.029970404225827,0,0.00621002297708502,0,0,0,0.0210039907582441,0,0.0452630479440131,0.115958708237428,0,0,0.00304242663948766,0,0.0284819139846198,0.03339455668726,0.193798449612403,0,0,0.0548646671543526,0.0139922762635025,0,0.0185294989623481,0.0412560165024066,0,0,0,0,0,0.00125974729469268,0,0,0.00645994832041344,0.000733218462440884,0.0040638648310747,0,0.000522296852639166,0,0.032478077297824,0,0,0.00068326079381239,0.0234530743071571,0,0,0,0.0305296901236452,0,0,0.0306968177632252,0.008,0,0,0,0.0519998266672444
"Fusobacterium_periodonticum",0,0.0107590510516972,0,0,0,0.0558846953897647,0,0,0,0.00308318431275822,0.0011738145451273,0.00310925937441701,0,0.0159616919393456,0,0.00918864283745291,0.0111656989727557,0.204738359742925,0.0526483853175661,0,0,0.0152140838948055,0,0.0109325461900077,0,0.318435544899412,0,0.00310501148854251,0,0,0,0.0420079815164881,0,0,0.0200530096951943,0,0,0,0.0346380325597506,0.156650526915409,0,0,0,0,0.0365764447695684,0.00174903453293782,0,0,0.00916800366720147,0,0.000712611078251822,0,0,0,0.00755848376815611,0,0.0174923033865099,0,0.0161308061736995,0.000478101744832318,0,0.0809560121590707,0,0,0.00668672684720829,0,0,0,0,0,0,0.152648450618226,0,0,0.0613936355264504,0,0,0.013967943569508,0,0.0173332755557481
"Fusobacterium_hwasookii",0.0154774802662127,0.0124142896750353,0.00588321812031181,0,0.00596338481722226,0.0275222883488979,0,0.0156758239604969,0.0528541226215645,0.00308318431275822,0.000391271515042433,0.0839500031092594,0.107334525939177,0.0161122739387734,0.00502285398563464,0.0275659285123587,0.00837427422956677,0.0616926845582985,0.0157021500069934,0.0347282514325404,0,0.147793957835253,0,0.0382639116650268,0,0.029970404225827,0.00267481593922818,0,0,0,0.0983284169124877,0.0840159630329763,0,0.0104453187563107,0.00859414701222611,0,0,0.0121697065579506,0.138552130239002,0.0712047849615494,0.025045917515445,0.0193798449612403,0,0,0.091441111923921,0.0038478759724632,0,0.0148235991698784,0.119184047673619,0,0.00427566646951094,0.0447027268663388,0,0.0277039007092199,0.0264546931885464,0,0.0174923033865099,0.0645994832041344,0.00806540308684973,0.0129087471104726,0,0.0420448966374529,0,0.194868463786944,0.00334336342360415,0.0703871292106586,0.00136652158762478,0,0,0,0,0.0457945351854679,0,0,0,0.00533333333333333,0,0.00349198589237699,0.00871915598570058,0.0216665944446852
"Fusobacterium_nucleatum",0.170252282928339,0.0740719283943772,0.126489189586704,0.000870541738123634,0.0894507722583338,0.0714100888173481,3.79746835443038,0.111690245718541,1.6384778012685,0.0184991058765493,0.0011738145451273,2.85430010571482,0.35778175313059,0.0521013718020148,0.231051283339193,0.156206928236699,0.0893255917820455,0.38145513382567,0.266936550118888,0.312554262892863,0,1.29102369050206,0.116701244813278,0.688750409970482,0.00574712643678161,0.370883752294609,0.00200611195442114,0.00310501148854251,0.054525627044711,0,0,0.441083805923125,0.000884360960769748,0.0557083667003238,0.239016929224086,0.00894934669769107,0.0346860908775581,0.0608485327897531,0.58884655351576,1.34577043577328,1.27734179328769,0.290697674418605,0,0.000336038442797856,2.13972201901975,0.0412772149773325,1.21739130434783,0.0259412985472873,7.43525097410039,4.44444444444444,0.000712611078251822,0.178810907465355,1.3134328358209,0.0720301418439716,0.983862637154987,0.280461202866937,0.115449202350966,2.62273901808785,0.17450599406093,0.131717030701304,0,0.700661227815441,0.431115276476101,1.98116271516726,0.140421263791374,0.0402212166918049,0.00136652158762478,0,0,0,0,0.564799267287437,0.00367914337768909,0.188323917137476,0.480916811623862,0.0506666666666667,0,0.157139365156965,0,0.697664341118863
"Capnocytophaga_ochracea",0.0309549605324253,0.000413809655834509,0.0264744815414031,0.000870541738123634,0,0.024397046814774,0,0.0607438178469256,0.0132135306553911,0.00308318431275822,0,0.00310925937441701,0,0,0.00502285398563464,0,0,0.00813529906263276,0.00052780336157961,0,0,0.00869376222560313,0.00648340248962656,0.00273313654750191,0,0.00749260105645675,0,0,0,0,0,0,0,0,0.00112097569724688,0,0,0,0,0.0142409569923099,0.00834863917181499,0.0193798449612403,0,0,0,0.000349806906587564,0,0.0407648977171657,0,0,0,0.223513634331694,0,0,0.00755848376815611,0.0311623558741041,0,0.0775193798449612,0,0,0,0.0015668905579175,0,0,0,0.0100553041729512,0,0.0195442285892976,0,0.00184508653455847,0,0.0152648450618226,0,0,0,0,0,0.00349198589237699,0,0
"Capnocytophaga_leadbetteri",0.0309549605324253,0.0976590787769442,0.126489189586704,0,0.0536704633550003,0.0277575215826492,0,0.00587843398518635,0.449260042283298,0.027748658814824,0,0.00310925937441701,0,0.00361396798626692,0.0452056858707117,0.00918864283745291,0.0530370701205896,0.957931464625008,0.000923655882764317,0.225733634311512,0,0.119539230602043,0.0194502074688797,0.0573958674975402,0,0.0824186116210242,0,0.00310501148854251,0,0,0,0,0,0.167125100100971,0.0051066670652358,0,0.0462481211700775,0.00608485327897531,0,0.199373397892338,0.075137752546335,0.251937984496124,0,0.000336038442797856,0.0182882223847842,0.0447752840432082,0,0.0296471983397569,0.137520055008022,1.66666666666667,0,0.178810907465355,0,0,0.00881823106284879,0.124649423496416,0.00349846067730199,4.19250645994832,0.00293287384976354,0.0160164084518826,0,0.00470067167375249,0.0749765698219307,0.032478077297824,0.0200601805416249,0,0,0.00390884571785952,0,0.0239861249492601,0,0.137383605556404,0,0.0693824957874913,0.040929090350967,0.00266666666666667,0,0.017459929461885,0,0.0259999133336222
"Capnocytophaga_sputigena",0.0619099210648506,0.0645543063101834,0.429474922782762,0.0121875843337309,0.125231081161667,1.88374773588013,1.54711673699015,0.233177881412392,0.303911205073996,0.0400813960658568,0.0156508606016973,0.0124370374976681,0,0.0039151319851225,0.27123411522427,0.211338785261417,0.00837427422956677,0.0910701533955834,0.00910460798724827,0.208369508595242,0.0119185959893925,0.362964572918931,0.589989626556017,0.0382639116650268,0.0114942528735632,0.157344622185592,0,0.0869403216791902,0,0,0,0.294055870615417,0,0.463075798196442,0.00635219561773234,0,0.254364666435426,0.00304242663948766,0,0.0712047849615494,0.0918350308899649,0.290697674418605,0.00198904038746507,0.0107532301695314,0.420629114850037,0.0279845525270051,0,1.6713608064038,0.0825120330048132,3.33333333333333,0,0,0.238805970149254,0.00554078014184397,0.205338809034908,0.342785914615145,0.0139938427092079,0.65891472868217,0.0909190893426697,0.00717152617248477,0,0.0329047017162675,0.974695407685098,0.194868463786944,0.0133734536944166,0.180995475113122,0,0.257983817378728,0,0.0166057788110262,0,0.534269577163792,0,0.128853206462484,0.0511613629387087,0.0533333333333333,0,0.027935887139016,0.00871915598570058,0.0173332755557481
"Capnocytophaga_gingivalis",0,0.0720028801152046,0.391234005000735,0,0.047707078537778,0.117583012127953,0.421940928270042,0.0293921699259317,0.462473572938689,0.332983905777887,0.00899924484597597,0.0373111124930042,0.107334525939177,0.0433676158352031,0.0803656637701542,0.128640999724341,0.0139571237159446,0.648564119715445,0.00963241134882788,0.434103142906755,0,0.113018908932841,0.622406639004149,0.0437301847600306,0.00574712643678161,0.187315026411419,0,1.78641660974146,0,0,0,0.357067842890149,0,0.337731973120713,0.00871869986747576,0,0.346860908775581,0.0273818397553889,0.127006119385752,0.0854457419538593,0.21706461846719,1.43410852713178,0,0,0.146305779078274,0.082554429954665,0,0.048176697302105,0.206280082512033,1.48148148148148,0.00213783323475547,0.268216361198033,0.17910447761194,0.149601063829787,0.112117509227649,0.0623247117482082,0.0174923033865099,7.26744186046512,0.069655753931884,0.0490054288453126,0,0.407652693484869,0.393626991565136,0,0.00334336342360415,0.211161387631976,0,1.44627291560802,0,0.0202959518801432,0,0.732712562967486,0,0.128853206462484,0.0716259081141922,0.016,0,0.108251562663687,0,0.134332885557048
"Porphyromonas_asaccharolytica",0,0.0140695282983733,0,0,0,0.011929685425957,0,0,0.0528541226215645,0.0123327372510329,0.000782543030084867,0.171009265592936,0.0715563506261181,0.0039151319851225,0,0,0.0139571237159446,0.0262137414240389,0.000131950840394902,0.0173641257162702,0,0.988915453162356,0.0324170124481328,0.0409970482125287,0,0.0149852021129135,0,0.00207000765902834,0,0,0,0,0,0.0104453187563107,0.00274016281549238,0,0,0,0.103914097679252,0.0213614354884648,0.00834863917181499,0,0,0,0.091441111923921,0.00139922762635025,0,0.00370589979246961,0.0504240201696081,0,0,0,0.17910447761194,0.0221631205673759,0.0176364621256976,0,0,0.174418604651163,0,0.00239050872416159,0,0.0148854603002162,0,0,0.160481444332999,0,0,0,0,0.00738034613823388,0,0.0457945351854679,0.00250181749682858,0.0198235702249975,0,0,0,0,0,0
