ID_old	ID_new	NAME	EQUATION	EC-NUMBER	GENE ASSOCIATION	SUBSYSTEM
ACETOOHBUTREDUCTOISOMRXNMetaCyc[c]	R2650	ketol-acid reductoisomerase (NADP+)	"NADPH [cytoplasm] + 2-aceto-2-hydroxy-butanoate [cytoplasm] --> NADP(+) [cytoplasm] + 2,3-Dihydroxy-3-methylpentanoate [cytoplasm]"	1.1.1.86	AFUA_3G14490	"Valine, leucine and isoleucine metabolism"
ACETOOHBUTREDUCTOISOMRXNMetaCyc[m]	R2651	ketol-acid reductoisomerase (NADP+)	"NADPH [mitochondrion] + 2-aceto-2-hydroxy-butanoate [mitochondrion] --> NADP(+) [mitochondrion] + 2,3-Dihydroxy-3-methylpentanoate [mitochondrion]"	1.1.1.86	AFUA_3G14490	"Valine, leucine and isoleucine metabolism"
ACETOOHBUTSYNRXNMetaCyc[c]	R2652	pyruvate:2-oxobutanoate acetaldehydetransferase (decarboxylating)	pyruvate [cytoplasm] + 2-oxobutanoate [cytoplasm] <=> CO2 [cytoplasm] + 2-aceto-2-hydroxy-butanoate [cytoplasm]	2.2.1.6	(AFUA_4G07210 and AFUA_3G10310) or AFUA_3G10310	"Valine, leucine and isoleucine metabolism"
ACETOOHBUTSYNRXNMetaCyc[m]	R2653	pyruvate:2-oxobutanoate acetaldehydetransferase (decarboxylating)	pyruvate [mitochondrion] + 2-oxobutanoate [mitochondrion] <=> CO2 [mitochondrion] + 2-aceto-2-hydroxy-butanoate [mitochondrion]	2.2.1.6	(AFUA_4G07210 and AFUA_3G10310) or AFUA_3G10310	"Valine, leucine and isoleucine metabolism"
DIHYDROXYMETVALDEHYDRATRXNMetaCyc[c]	R2654	"(R)-2,3-Dihydroxy-3-methylpentanoate hydro-lyase"	"2,3-Dihydroxy-3-methylpentanoate [cytoplasm] --> H2O [cytoplasm] + (S)-3-methyl-2-oxopentanoate [cytoplasm]"	4.2.1.9	AFUA_1G07330 or AFUA_2G16300 or AFUA_1G03550	"Valine, leucine and isoleucine metabolism"
DIHYDROXYMETVALDEHYDRATRXNMetaCyc[m]	R2655	"(R)-2,3-Dihydroxy-3-methylpentanoate hydro-lyase"	"2,3-Dihydroxy-3-methylpentanoate [mitochondrion] --> H2O [mitochondrion] + (S)-3-methyl-2-oxopentanoate [mitochondrion]"	4.2.1.9	AFUA_2G14210	"Valine, leucine and isoleucine metabolism"
R03869KEGGR03869[c]	R2656	(S)-Methylmalonate semialdehyde:NAD+ oxidoreductase	H2O [cytoplasm] + NAD(+) [cytoplasm] + (S)-Methylmalonate semialdehyde [cytoplasm] --> NADH [cytoplasm] + methylmalonate [cytoplasm]	1.2.1.3	AFUA_2G00720 or AFUA_7G01000 or AFUA_6G11430	"Valine, leucine and isoleucine metabolism"
R04137KEGGR04137[c]	R2657	3-hydroxyisovaleryl-CoA hydro-lyase	3-Hydroxyisovaleryl-CoA [cytoplasm] <-- H2O [cytoplasm] + 3-methylbut-2-enoyl-CoA [cytoplasm]	4.2.1.17	AFUA_2G10920 or AFUA_8G01210	"Valine, leucine and isoleucine metabolism"
R04137KEGGR04137[m]	R2658	3-hydroxyisovaleryl-CoA hydro-lyase	3-Hydroxyisovaleryl-CoA [mitochondrion] <-- H2O [mitochondrion] + 3-methylbut-2-enoyl-CoA [mitochondrion]	4.2.1.17	AFUA_2G10920 or AFUA_8G01210	"Valine, leucine and isoleucine metabolism"
R04188KEGGR04188[m]	R2659	L-3-amino-isobutanoate:2-oxoglutarate aminotransferase	2-oxoglutarate [mitochondrion] + (S)-3-amino-2-methylpropanoate [mitochondrion] <-- L-glutamate [mitochondrion] + (S)-Methylmalonate semialdehyde [mitochondrion]	2.6.1.22	AFUA_5G06680	"Valine, leucine and isoleucine metabolism"
R05071KEGGR05071[c]	R2660	(S)-2-Acetolactate methylmutase	(2S)-2-hydroxy-2-methyl-3-oxobutanoate [cytoplasm] <=> 3-hydroxy-3-methyl-2-oxobutanoate [cytoplasm]	1.1.1.86; 5.4.99.3	AFUA_3G14490	"Valine, leucine and isoleucine metabolism"
R05071KEGGR05071[m]	R2661	(S)-2-Acetolactate methylmutase	(2S)-2-hydroxy-2-methyl-3-oxobutanoate [mitochondrion] <=> 3-hydroxy-3-methyl-2-oxobutanoate [mitochondrion]	1.1.1.86; 5.4.99.3	AFUA_3G14490	"Valine, leucine and isoleucine metabolism"
R400ANIGER[c]	R2662	3-Carboxy-4-methyl-2-oxopentanoate synthase	9.0 H2O [cytoplasm] + NAD(+) [cytoplasm] + 2.0 2-isopropylmalate [cytoplasm] --> NADH [cytoplasm] + 7.0 CO2 [cytoplasm] + (2S)-2-isopropyl-3-oxosuccinate [cytoplasm]		AFUA_6G13590 or AFUA_1G15780	"Valine, leucine and isoleucine metabolism"
R401ANIGER[m]	R2663	L-Leucine synthase	H2O [mitochondrion] + 7.0 L-glutamate [mitochondrion] + 11.0 (2S)-2-isopropyl-3-oxosuccinate [mitochondrion] <=> 14.0 2-oxoglutarate [mitochondrion] + 7.0 L-leucine [mitochondrion]			"Valine, leucine and isoleucine metabolism"
R404ANIGER[c]	R2664	Ketol-acid reductoisomerase	"4.0 H2O [cytoplasm] + NADPH [cytoplasm] + 5.0 acetohydroxybutyrate [cytoplasm] --> NADP(+) [cytoplasm] + 6.0 (R)-2,3-dihydroxy-3-methylbutanoate [cytoplasm]"	1.1.1.86	AFUA_3G14490	"Valine, leucine and isoleucine metabolism"
R404ANIGER[m]	R2665	Ketol-acid reductoisomerase	"4.0 H2O [mitochondrion] + NADPH [mitochondrion] + 5.0 acetohydroxybutyrate [mitochondrion] --> NADP(+) [mitochondrion] + 6.0 (R)-2,3-dihydroxy-3-methylbutanoate [mitochondrion]"	1.1.1.86	AFUA_3G14490	"Valine, leucine and isoleucine metabolism"
R406ANIGER[c]	R2666	Branched chain amino acid aminotransferase	5.0 L-glutamate [cytoplasm] + 3.0 (R)-3-methyl-2-oxobutanoate [cytoplasm] --> 9.0 H2O [cytoplasm] + 2.0 2-oxoglutarate [cytoplasm] + 5.0 L-isoleucine [cytoplasm]	2.6.1.42	AFUA_4G06160 or AFUA_2G10420 or AFUA_1G01680	"Valine, leucine and isoleucine metabolism"
R406ANIGER[m]	R2667	Branched chain amino acid aminotransferase	5.0 L-glutamate [mitochondrion] + 3.0 (R)-3-methyl-2-oxobutanoate [mitochondrion] --> 9.0 H2O [mitochondrion] + 2.0 2-oxoglutarate [mitochondrion] + 5.0 L-isoleucine [mitochondrion]	2.6.1.42	AFUA_4G06160 or AFUA_2G10420 or AFUA_1G01680	"Valine, leucine and isoleucine metabolism"
R763ANIGER[c]	R2668	Acetoacetate:CoA ligase (AMP-forming)	ATP [cytoplasm] + coenzyme A [cytoplasm] + acetoacetate [cytoplasm] --> diphosphate [cytoplasm] + AMP [cytoplasm] + acetoacetyl-CoA [cytoplasm]	6.2.1.16	AFUA_1G11880 or AFUA_8G04770	"Valine, leucine and isoleucine metabolism"
R763ANIGER[p]	R2669	Acetoacetate:CoA ligase (AMP-forming)	ATP [peroxisome] + coenzyme A [peroxisome] + acetoacetate [peroxisome] --> diphosphate [peroxisome] + AMP [peroxisome] + acetoacetyl-CoA [peroxisome]	6.2.1.16	AFUA_1G11880 or AFUA_8G04770	"Valine, leucine and isoleucine metabolism"
R76ANIGERR00925[c]	R2670	Propanoate:CoA ligase (AMP-forming)	ATP [cytoplasm] + coenzyme A [cytoplasm] + propionate [cytoplasm] <=> diphosphate [cytoplasm] + AMP [cytoplasm] + propionyl-CoA [cytoplasm]	6.2.1.1; 6.2.1.17	AFUA_4G11080 or AFUA_8G00500 or AFUA_2G07780	"Valine, leucine and isoleucine metabolism"
R76ANIGERR00925[p]	R2671	Propanoate:CoA ligase (AMP-forming)	ATP [peroxisome] + coenzyme A [peroxisome] + propionate [peroxisome] <=> diphosphate [peroxisome] + AMP [peroxisome] + propionyl-CoA [peroxisome]	6.2.1.1; 6.2.1.17	AFUA_4G11080 or AFUA_8G00500 or AFUA_2G07780	"Valine, leucine and isoleucine metabolism"
RXN12561MetaCyc[e]	R2672	acetyl-CoAC-acyltransferase	acetyl-CoA [extracellular] + propionyl-CoA [extracellular] <=> coenzyme A [extracellular] + beta-ketovaleryl-CoA [extracellular]	2.3.1.16	AFUA_4G10950 or AFUA_7G04080	"Valine, leucine and isoleucine metabolism"
RXN12561MetaCyc[m]	R2673	acetyl-CoAC-acyltransferase	acetyl-CoA [mitochondrion] + propionyl-CoA [mitochondrion] <=> coenzyme A [mitochondrion] + beta-ketovaleryl-CoA [mitochondrion]	2.3.1.16	AFUA_4G10950 or AFUA_7G04080	"Valine, leucine and isoleucine metabolism"
r0016YCM606R08648[m]	R2674	pyruvate:2-oxobutanoate acetaldehydetransferase (decarboxylating)	pyruvate [mitochondrion] + 2-oxobutanoate [mitochondrion] --> CO2 [mitochondrion] + acetohydroxybutyrate [mitochondrion]	2.2.1.6	(AFUA_4G07210 and AFUA_3G10310) or AFUA_3G10310	"Valine, leucine and isoleucine metabolism"
r0023YCM606R03968[c]	R2675	2-Isopropylmalate hydro-lyase	H2O [cytoplasm] + 2-isopropylmaleate [cytoplasm] <=> 2-isopropylmalate [cytoplasm]	4.2.1.33	AFUA_2G11260	"Valine, leucine and isoleucine metabolism"
r0029YCM606R01652[c]	R2676	3-isopropylmalate dehydrogenase	(2S)-2-isopropyl-3-oxosuccinate [cytoplasm] --> CO2 [cytoplasm] + 4-methyl-2-oxopentanoate [cytoplasm]	1.1.1.85	AFUA_4G06160 or AFUA_2G10420 or AFUA_1G01680	"Valine, leucine and isoleucine metabolism"
r0029YCM606R01652[m]	R2677	3-isopropylmalate dehydrogenase	(2S)-2-isopropyl-3-oxosuccinate [mitochondrion] --> CO2 [mitochondrion] + 4-methyl-2-oxopentanoate [mitochondrion]	1.1.1.85	AFUA_4G06160 or AFUA_2G10420 or AFUA_1G01680	"Valine, leucine and isoleucine metabolism"
r0060YCM606R04001[c]	R2678	3-Isopropylmalate hydro-lyase	3-isopropylmalate [cytoplasm] <=> H2O [cytoplasm] + 2-isopropylmaleate [cytoplasm]	4.2.1.33	AFUA_2G11260	"Valine, leucine and isoleucine metabolism"
r0061YCM606R04426[c]	R2679	"(2R,3S)-3-isopropylmalate:NAD+ oxidoreductase"	NAD(+) [cytoplasm] + 3-isopropylmalate [cytoplasm] <-- NADH [cytoplasm] + (2S)-2-isopropyl-3-oxosuccinate [cytoplasm]	1.1.1.85	AFUA_1G15780 or AFUA_6G13590	"Valine, leucine and isoleucine metabolism"
r0062YCM606[c]	R2680	3-methyl-2-oxobutanoate decarboxylase	(R)-3-methyl-2-oxobutanoate [cytoplasm] --> CO2 [cytoplasm] + isobutyraldehyde [cytoplasm]	4.1.1.-; 4.1.1.1; 4.1.1.43; 4.1.1.74	AFUA_6G00750 or AFUA_5G14810 or AFUA_3G11070	"Valine, leucine and isoleucine metabolism"
r0096YCM606[m]	R2681	acetohydroxy acid isomeroreductase	"NADPH [mitochondrion] + 2-Acetolactate [mitochondrion] --> NADP(+) [mitochondrion] + (R)-2,3-dihydroxy-3-methylbutanoate [mitochondrion]"	1.1.1.86	AFUA_3G14490	"Valine, leucine and isoleucine metabolism"
r0101YCM606[p]	R2682	acetyl-CoA C-acyltransferase (tetracosanoyl-CoA)	coenzyme A [peroxisome] + 3-oxohexacosanoyl-CoA [peroxisome] --> acetyl-CoA [peroxisome] + Tetracosanoyl-CoA [peroxisome]	2.3.1.16	AFUA_4G10950 or AFUA_7G04080	"Valine, leucine and isoleucine metabolism"
r0352YCM606R04441[m]	R2683	"(R)-2,3-Dihydroxy-3-methylbutanoate hydro-lyase"	"(R)-2,3-dihydroxy-3-methylbutanoate [mitochondrion] --> H2O [mitochondrion] + (R)-3-methyl-2-oxobutanoate [mitochondrion]"	4.2.1.9	AFUA_2G14210 or AFUA_1G07330 or AFUA_2G16300 or AFUA_1G03550	"Valine, leucine and isoleucine metabolism"
r0353YCM606R05070[m]	R2684	"(R)-2,3-Dihydroxy-3-methylpentanoate hydro-lyase"	"(2R,3R)-2,3-dihydroxy-3-methylpentanoate [mitochondrion] --> H2O [mitochondrion] + (S)-3-methyl-2-oxopentanoate [mitochondrion]"	4.2.1.9	AFUA_2G14210 or AFUA_1G07330 or AFUA_2G16300 or AFUA_1G03550	"Valine, leucine and isoleucine metabolism"
r0654iAL1006R05069[c]	R2685	(S)-2-Aceto-2-hydroxybutanoate:NADP+ oxidoreductase (isomerizing)	NADPH [cytoplasm] + acetohydroxybutyrate [cytoplasm] --> NADP(+) [cytoplasm] + (R)-3-hydroxy-3-methyl-2-oxopentanoate [cytoplasm]	1.1.1.86; 5.4.99.3	AFUA_3G14490	"Valine, leucine and isoleucine metabolism"
r0654iAL1006R05069[m]	R2686	(S)-2-Aceto-2-hydroxybutanoate:NADP+ oxidoreductase (isomerizing)	NADPH [mitochondrion] + acetohydroxybutyrate [mitochondrion] --> NADP(+) [mitochondrion] + (R)-3-hydroxy-3-methyl-2-oxopentanoate [mitochondrion]	1.1.1.86; 5.4.99.3	AFUA_3G14490	"Valine, leucine and isoleucine metabolism"
r0662iAL1006R01701[m]	R2687	"3-methyl-2-oxobutanoate:[dihydrolipoyllysine-residue (2-methylpropanoyl)transferase] lipoyllysine 2-oxidoreductase (decarboxylating, acceptor-2-methylpropanoylating)"	Enzyme N6-(lipoyl)lysine [mitochondrion] + (R)-3-methyl-2-oxobutanoate [mitochondrion] <=> CO2 [mitochondrion] + [Dihydrolipoyllysine-residue (2-methylpropanoyl)transferase] S-(2-methylpropanoyl)dihydrolipoyllysine [mitochondrion]	1.2.4.4	AFUA_6G08830 and AFUA_3G01450 and AFUA_4G12010 and AFUA_1G00490	"Valine, leucine and isoleucine metabolism"
r0663YCM606R02199[c]	R2688	L-Isoleucine:2-oxoglutarate aminotransferase	2-oxoglutarate [cytoplasm] + L-isoleucine [cytoplasm] <=> L-glutamate [cytoplasm] + (S)-3-methyl-2-oxopentanoate [cytoplasm]	2.6.1.42	AFUA_4G06160 or AFUA_2G10420 or AFUA_1G01680	"Valine, leucine and isoleucine metabolism"
r0663YCM606R02199[m]	R2689	L-Isoleucine:2-oxoglutarate aminotransferase	2-oxoglutarate [mitochondrion] + L-isoleucine [mitochondrion] <=> L-glutamate [mitochondrion] + (S)-3-methyl-2-oxopentanoate [mitochondrion]	2.6.1.42	AFUA_4G06160 or AFUA_2G10420 or AFUA_1G01680	"Valine, leucine and isoleucine metabolism"
r0663iAL1006R04225[m]	R2690	"(S)-3-Methyl-2-oxopentanoate:[dihydrolipoyllysine-residue (2-methylpropanoyl)transferase] lipoyllysine 2-oxidoreductase (decarboxylating, acceptor-2-methylpropanoylating)"	(S)-3-methyl-2-oxopentanoate [mitochondrion] + Enzyme N6-(lipoyl)lysine [mitochondrion] <=> CO2 [mitochondrion] + [Dihydrolipoyllysine-residue (2-methylpropanoyl)transferase] S-(2-methylbutanoyl)dihydrolipoyllysine [mitochondrion]	1.2.4.4	AFUA_6G08830 and AFUA_3G01450 and AFUA_4G12010 and AFUA_1G00490	"Valine, leucine and isoleucine metabolism"
r0664iAL1006R01702[m]	R2691	"4-methyl-2-oxopentanoate:[dihydrolipoyllysine-residue (2-methylpropanoyl)transferase] lipoyllysine 2-oxidoreductase (decarboxylating, acceptor-2-methylpropanoylating)"	4-methyl-2-oxopentanoate [mitochondrion] + Enzyme N6-(lipoyl)lysine [mitochondrion] <=> CO2 [mitochondrion] + [Dihydrolipoyllysine-residue (2-methylpropanoyl)transferase] S-(3-methylbutanoyl)dihydrolipoyllysine [mitochondrion]	1.2.4.4	AFUA_6G08830 and AFUA_3G01450 and AFUA_4G12010 and AFUA_1G00490	"Valine, leucine and isoleucine metabolism"
r0669YCM606[m]	R2692	ketol-acid reductoisomerase (2-aceto-2-hydroxybutanoate)	"NADPH [mitochondrion] + acetohydroxybutyrate [mitochondrion] --> NADP(+) [mitochondrion] + (2R,3R)-2,3-dihydroxy-3-methylpentanoate [mitochondrion]"	1.1.1.86	AFUA_3G14490	"Valine, leucine and isoleucine metabolism"
r0669iAL1006R02661[p]	R2693	"2-methylpropanoyl-CoA:(acceptor) 2,3-oxidoreductase"	FAD [peroxisome] + isobutyryl-CoA [peroxisome] --> FADH2 [peroxisome] + 2-Methylprop-2-enoyl-CoA [peroxisome]	1.3.8.1; 1.3.8.7; 1.3.99.12; 1.3.99.-	AFUA_7G06510 or AFUA_5G06500	"Valine, leucine and isoleucine metabolism"
r0669iAL1006R02661[c]	R2694	"2-methylpropanoyl-CoA:(acceptor) 2,3-oxidoreductase"	FAD [cytoplasm] + isobutyryl-CoA [cytoplasm] --> FADH2 [cytoplasm] + 2-Methylprop-2-enoyl-CoA [cytoplasm]	1.3.8.1; 1.3.8.7; 1.3.99.12; 1.3.99.-	AFUA_7G06510 or AFUA_5G06500	"Valine, leucine and isoleucine metabolism"
r0669iAL1006R02661[m]	R2695	"2-methylpropanoyl-CoA:(acceptor) 2,3-oxidoreductase"	FAD [mitochondrion] + isobutyryl-CoA [mitochondrion] --> FADH2 [mitochondrion] + 2-Methylprop-2-enoyl-CoA [mitochondrion]	1.3.8.1; 1.3.8.7; 1.3.99.12; 1.3.99.-	AFUA_7G06510 or AFUA_5G06500	"Valine, leucine and isoleucine metabolism"
r0676iAL1006R04095[m]	R2696	"3-methylbutanoyl-CoA:electron-transfer flavoprotein 2,3-oxidoreductase"	FAD [mitochondrion] + 3-isovaleryl-CoA [mitochondrion] --> FADH2 [mitochondrion] + 3-methylbut-2-enoyl-CoA [mitochondrion]	1.3.8.4; 1.3.8.7	AFUA_5G08930	"Valine, leucine and isoleucine metabolism"
r0680iAL1006R03352[m]	R2697	3-Hydroxy-2-methylpropanoyl-CoA hydrolase	H2O [mitochondrion] + (S)-3-Hydroxyisobutyryl-CoA [mitochondrion] --> coenzyme A [mitochondrion] + 3-hydroxy-2-methylpropanoate [mitochondrion]	3.1.2.4	AFUA_5G12790	"Valine, leucine and isoleucine metabolism"
r0699YCM606R01090[c]	R2698	L-Leucine:2-oxoglutarate aminotransferase	2-oxoglutarate [cytoplasm] + L-leucine [cytoplasm] <=> L-glutamate [cytoplasm] + 4-methyl-2-oxopentanoate [cytoplasm]	2.6.1.6; 2.6.1.42; 2.6.1.67	AFUA_4G06160 or AFUA_2G10420 or AFUA_1G01680	"Valine, leucine and isoleucine metabolism"
r0699YCM606R01090[m]	R2699	L-Leucine:2-oxoglutarate aminotransferase	2-oxoglutarate [mitochondrion] + L-leucine [mitochondrion] <=> L-glutamate [mitochondrion] + 4-methyl-2-oxopentanoate [mitochondrion]	2.6.1.6; 2.6.1.42; 2.6.1.67	AFUA_4G06160 or AFUA_2G10420 or AFUA_1G01680	"Valine, leucine and isoleucine metabolism"
r1082iLC915R04138[m]	R2700	3-Methylcrotonoyl-CoA:carbon-dioxide ligase (ADP-forming)	H2O [mitochondrion] + ATP [mitochondrion] + CO2 [mitochondrion] + 3-methylbut-2-enoyl-CoA [mitochondrion] <=> ADP [mitochondrion] + phosphate [mitochondrion] + trans-3-methylglutaconyl-CoA [mitochondrion]	6.4.1.4	AFUA_5G08910 and AFUA_5G08940	"Valine, leucine and isoleucine metabolism"
