,Sample,cluster,dataset,cyp51a,TR34,Itraconazole,Posaconazole,Voriconazole,overall_resistant
0,182-K-1-3L-4,-1,Environment,,,susceptible,susceptible,susceptible,susceptible
1,255-F-1-3L-1,-1,Environment,,,susceptible,susceptible,susceptible,susceptible
2,10-C-1-40s-1,1,Environment,,,susceptible,susceptible,susceptible,susceptible
3,106-C-1-72s-2,1,Environment,wt,wt,resistant,susceptible,susceptible,resistant
4,3-D-2-2s-2,1,Environment,,,susceptible,susceptible,susceptible,susceptible
5,313-H-1-15-2,1,Environment,wt,wt,resistant,susceptible,susceptible,resistant
6,350-E-1-37L-2,1,Environment,,,susceptible,susceptible,susceptible,susceptible
7,373-C-1-40L-2,1,Environment,wt,wt,susceptible,susceptible,susceptible,susceptible
8,424-D-2-22s-1,1,Environment,wt,wt,susceptible,susceptible,susceptible,susceptible
9,441-A-3-45L-2,1,Environment,wt,wt,susceptible,susceptible,susceptible,susceptible
10,470-E-1-14-1,1,Environment,wt,wt,susceptible,susceptible,susceptible,susceptible
11,514-H-1-29-2,1,Environment,,,susceptible,susceptible,susceptible,susceptible
12,570-H-1-23-3,1,Environment,wt,wt,susceptible,susceptible,susceptible,susceptible
13,680-L-3-13-2,1,Environment,,,susceptible,susceptible,susceptible,susceptible
14,683-L-3-24-1,1,Environment,,,susceptible,susceptible,susceptible,susceptible
15,684-L-3-7-1,1,Environment,wt,wt,resistant,resistant,susceptible,resistant
16,746-B-1-45-2,1,Environment,wt,wt,susceptible,susceptible,susceptible,susceptible
17,788-A-3-30s-2,1,Environment,wt,wt,susceptible,susceptible,susceptible,susceptible
18,84-D-2-49L-5,1,Environment,,,susceptible,susceptible,susceptible,susceptible
19,863-A-2-35L-1,1,Environment,,,susceptible,susceptible,susceptible,susceptible
20,865-A-2-44L-2,1,Environment,,,susceptible,susceptible,susceptible,susceptible
21,87-D-2-49L-2,1,Environment,,,susceptible,susceptible,susceptible,susceptible
22,94-D-2-28L-1,1,Environment,,,susceptible,susceptible,susceptible,susceptible
23,C19-NRZ-2017-214,1,Hospitals,mutation,wt,resistant,resistant,resistant,resistant
24,C39-NRZ-2018-286,1,Hospitals,,,susceptible,susceptible,susceptible,susceptible
25,C6-NRZ-2016-108,1,Hospitals,,,resistant,susceptible,resistant,resistant
26,C9-NRZ-2016-342,1,Hospitals,,,resistant,resistant,resistant,resistant
27,105-D-2-38L-1,2,Environment,,,susceptible,susceptible,susceptible,susceptible
28,15-D-2-39L-1,2,Environment,,,susceptible,susceptible,susceptible,susceptible
29,193-L-2-16-1,2,Environment,,,susceptible,susceptible,susceptible,susceptible
30,194-L-2-17-1,2,Environment,,,susceptible,susceptible,susceptible,susceptible
31,198-L-2-7-1,2,Environment,,,susceptible,susceptible,susceptible,susceptible
32,200-L-2-9-1,2,Environment,,,susceptible,susceptible,susceptible,susceptible
33,201-L-2-9-5,2,Environment,,,susceptible,susceptible,susceptible,susceptible
34,207-L-2-16-3,2,Environment,,,susceptible,susceptible,susceptible,susceptible
35,25-D-2-26s-1,2,Environment,,,susceptible,susceptible,susceptible,susceptible
36,26-D-2-29s-1,2,Environment,,,susceptible,susceptible,susceptible,susceptible
37,285-I-1-2-4,2,Environment,wt,wt,susceptible,susceptible,susceptible,susceptible
38,302-B-1-32-1,2,Environment,wt,wt,susceptible,susceptible,susceptible,susceptible
39,303-B-1-32-3,2,Environment,,,susceptible,susceptible,susceptible,susceptible
40,326-C-1-31s-1,2,Environment,wt,wt,susceptible,susceptible,susceptible,susceptible
41,328-C-1-30L-1,2,Environment,,,susceptible,susceptible,susceptible,susceptible
42,333-C-1-28L-1,2,Environment,wt,wt,susceptible,susceptible,susceptible,susceptible
43,407-L-2-4-3,2,Environment,,,susceptible,susceptible,susceptible,susceptible
44,451-D-2-24s-1,2,Environment,,,susceptible,susceptible,susceptible,susceptible
45,453-E-1-56s-1,2,Environment,,,susceptible,susceptible,susceptible,susceptible
46,477-E-1-25-10,2,Environment,,,susceptible,susceptible,susceptible,susceptible
47,479-L-2-13-4,2,Environment,,,susceptible,susceptible,susceptible,susceptible
48,5-C-1-24L-3,2,Environment,,,susceptible,susceptible,susceptible,susceptible
49,54-C-1-66L-2,2,Environment,,,susceptible,susceptible,susceptible,susceptible
50,6-C-1-49-1,2,Environment,,,susceptible,susceptible,susceptible,susceptible
51,676-L-3-13-1,2,Environment,,,susceptible,susceptible,susceptible,susceptible
52,690-L-3-22-2,2,Environment,,,susceptible,susceptible,susceptible,susceptible
53,743-B-1-45-5,2,Environment,wt,wt,susceptible,susceptible,susceptible,susceptible
