Sample,cluster,dataset,bundesland,cyp51a,TR34,Itraconazole,Posaconazole,Voriconazole,overall_resistant
182-K-1-3L-4,-1,Environment,Saxony-Anhalt,NA,NA,susceptible,susceptible,susceptible,susceptible
255-F-1-3L-1,-1,Environment,Saxony-Anhalt,NA,NA,susceptible,susceptible,susceptible,susceptible
10-C-1-40s-1,1,Environment,Saxony-Anhalt,NA,NA,susceptible,susceptible,susceptible,susceptible
106-C-1-72s-2,1,Environment,Saxony-Anhalt,wt,wt,resistant,susceptible,susceptible,resistant
3-D-2-2s-2,1,Environment,Saxony-Anhalt,NA,NA,susceptible,susceptible,susceptible,susceptible
313-H-1-15-2,1,Environment,Saxony,wt,wt,resistant,susceptible,susceptible,resistant
350-E-1-37L-2,1,Environment,Saxony-Anhalt,NA,NA,susceptible,susceptible,susceptible,susceptible
373-C-1-40L-2,1,Environment,Saxony-Anhalt,wt,wt,susceptible,susceptible,susceptible,susceptible
424-D-2-22s-1,1,Environment,Saxony-Anhalt,wt,wt,susceptible,susceptible,susceptible,susceptible
441-A-3-45L-2,1,Environment,Thuringia,wt,wt,susceptible,susceptible,susceptible,susceptible
470-E-1-14-1,1,Environment,Saxony-Anhalt,wt,wt,susceptible,susceptible,susceptible,susceptible
514-H-1-29-2,1,Environment,Saxony,NA,NA,susceptible,susceptible,susceptible,susceptible
570-H-1-23-3,1,Environment,Saxony,wt,wt,susceptible,susceptible,susceptible,susceptible
680-L-3-13-2,1,Environment,Saxony,NA,NA,susceptible,susceptible,susceptible,susceptible
683-L-3-24-1,1,Environment,Saxony,NA,NA,susceptible,susceptible,susceptible,susceptible
684-L-3-7-1,1,Environment,Saxony,wt,wt,resistant,resistant,susceptible,resistant
746-B-1-45-2,1,Environment,Thuringia,wt,wt,susceptible,susceptible,susceptible,susceptible
788-A-3-30s-2,1,Environment,Thuringia,wt,wt,susceptible,susceptible,susceptible,susceptible
84-D-2-49L-5,1,Environment,Saxony-Anhalt,NA,NA,susceptible,susceptible,susceptible,susceptible
863-A-2-35L-1,1,Environment,Thuringia,NA,NA,susceptible,susceptible,susceptible,susceptible
865-A-2-44L-2,1,Environment,Thuringia,NA,NA,susceptible,susceptible,susceptible,susceptible
87-D-2-49L-2,1,Environment,Saxony-Anhalt,NA,NA,susceptible,susceptible,susceptible,susceptible
94-D-2-28L-1,1,Environment,Saxony-Anhalt,NA,NA,susceptible,susceptible,susceptible,susceptible
C19-NRZ-2017-214,1,Hospitals,Berlin,mutation,wt,resistant,resistant,resistant,resistant
C39-NRZ-2018-286,1,Hospitals,Saxony,NA,NA,susceptible,susceptible,susceptible,susceptible
C6-NRZ-2016-108,1,Hospitals,Berlin,NA,NA,resistant,susceptible,resistant,resistant
C9-NRZ-2016-342,1,Hospitals,Bavaria,NA,NA,resistant,resistant,resistant,resistant
105-D-2-38L-1,2,Environment,Saxony-Anhalt,NA,NA,susceptible,susceptible,susceptible,susceptible
15-D-2-39L-1,2,Environment,Saxony-Anhalt,NA,NA,susceptible,susceptible,susceptible,susceptible
193-L-2-16-1,2,Environment,Saxony,NA,NA,susceptible,susceptible,susceptible,susceptible
