,DRR022925,DRR237582,ERR232406,ERR232408,ERR232409,ERR232411,ERR232412,ERR232413,ERR232414,ERR232417,ERR232418,ERR232420,ERR232421,ERR232422,ERR232429,ERR232430,ERR232431,ERR232432,ERR232437,ERR232438,ERR232440,ERR232441,ERR769510.1,SRR12894196,SRR2954803.1,SRR4002443.1,SRR5676587.1,SRR617720.1,SRR617722.1,SRR617734.1,SRR617745.1,SRR6434917.1,SRR7418924.1,SRR7418926.1,SRR7418928.1,SRR7418930.1,SRR7418934.1,SRR7418935.1,SRR7418936.1,SRR7418938.1,SRR7418939.1,SRR7418941.1,SRR7418942.1,SRR7418944.1,SRR7418947.1,SRR7418949.1,SRR8759697.1,SRR9067511.1
Afu1g00100,100.0,100.0,0.0,100.0,96.8,96.6,100.0,99.5,100.0,100.0,100.0,100.0,100.0,100.0,97.3,100.0,100.0,100.0,100.0,97.1,96.8,97.3,100.0,0.0,0.0,97.3,100.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,96.8,100.0,100.0,100.0,100.0,100.0,97.3,97.6,100.0,100.0,0.0
Afu1g00110,96.2,96.2,100.0,96.2,100.0,100.0,95.3,96.2,96.2,96.2,96.2,96.2,95.3,95.3,100.0,96.2,96.2,96.2,96.2,100.0,100.0,100.0,99.0,100.0,0.0,96.2,96.2,0.0,95.3,0.0,95.3,0.0,0.0,0.0,0.0,0.0,95.3,100.0,96.2,96.2,95.3,100.0,96.2,100.0,100.0,95.3,96.2,0.0
Afu1g00160,85.0,0.0,87.4,0.0,85.0,76.9,0.0,0.0,0.0,76.9,0.0,76.9,0.0,87.4,76.9,0.0,0.0,0.0,85.0,0.0,76.9,97.6,85.0,85.0,97.6,100.0,85.0,0.0,0.0,85.0,0.0,0.0,85.0,97.6,85.0,76.9,85.0,76.9,0.0,0.0,76.9,87.4,85.0,0.0,100.0,59.8,0.0,0.0
Afu1g00180,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,73.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
Afu1g00200,93.7,0.0,100.0,0.0,94.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.2,0.0,0.0,0.0,0.0,94.0,0.0,0.0,94.0,94.0,94.0,94.0,96.2,94.0,0.0,0.0,94.0,0.0,0.0,94.0,94.0,94.0,0.0,93.7,93.7,94.0,0.0,0.0,100.0,93.7,0.0,89.2,0.0,0.0,94.0
Afu1g00210,0.0,0.0,80.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.5,0.0,80.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.5,0.0,0.0,80.1,0.0,0.0,0.0
Afu1g00220,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.8,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0
Afu1g00240,0.0,0.0,98.7,0.0,70.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.4,0.0,0.0,0.0,0.0,70.6,0.0,0.0,70.6,70.6,98.7,70.6,96.0,70.6,0.0,0.0,70.6,0.0,0.0,70.6,70.6,70.6,0.0,0.0,70.6,70.6,0.0,0.0,98.7,70.6,0.0,70.6,0.0,0.0,70.6
Afu1g00250,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,92.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,97.3,0.0,0.0,0.0
Afu1g00280,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,97.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.2,0.0,0.0,98.7,0.0,0.0,0.0
Afu1g00290,0.0,0.0,0.0,0.0,59.4,0.0,0.0,0.0,48.0,0.0,0.0,48.0,48.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,48.0,48.1,48.0,48.0,0.0,0.0,0.0,48.0,48.0,0.0,0.0
Afu1g00300,97.7,97.8,0.0,97.8,97.7,32.8,97.8,97.7,75.3,0.0,75.3,97.7,0.0,0.0,0.0,75.3,75.3,75.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.3,0.0,0.0,75.3,75.3,0.0,0.0,0.0,0.0,75.3,0.0,0.0,0.0,75.3,0.0,75.3,43.9,0.0,0.0,75.3,0.0
Afu1g00310,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,97.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,97.0,0.0,0.0,0.0
Afu1g00320,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,99.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,98.2,0.0,0.0,0.0
Afu1g00330,0.0,0.0,76.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.7,0.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.7,0.0,0.0,76.7,0.0,0.0,0.0
Afu1g00390,0.0,0.0,44.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.2,0.0,40.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.6,0.0,0.0,0.0
Afu1g00490,0.0,0.0,100.0,0.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,92.0,100.0,100.0,0.0,100.0,0.0,0.0,92.0,0.0,0.0,100.0,92.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,99.8,0.0,0.0,0.0,0.0,0.0,0.0
Afu1g00620,0.0,0.0,93.7,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,32.4,99.5,0.0,0.0,0.0,0.0,32.4,40.0,40.0,0.0,40.0,100.0,41.3,99.5,32.4,0.0,40.0,40.0,0.0,40.6,32.4,32.1,40.0,0.0,0.0,40.0,40.0,40.0,40.0,93.7,40.0,0.0,99.5,40.0,0.0,0.0
Afu1g00640,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,89.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,92.0,0.0,0.0,0.0
Afu1g00660,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,93.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,93.5,0.0,0.0,0.0
Afu1g00670,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.9,0.0,0.0,90.1,0.0,0.0,0.0
